workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
AHFEDGGIOG8DK,3X31TUMD7YUAU5048TXKGJGPP4OL1K,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 1 1 0 0 0 0 0 0 0,473,1 0 0 1 1 1 0 1 0 1,71 25 69 33 40 75 9 49 73 29,6.2520,30.1903,2,9.8767 1.3281 2.5999 0.8720 1.3595 2.9917 0.5998 0.8319 0.5122 0.4959
A3U7RDVJNFHHLZ,33LK57MYLUDUTEG20D3DKZEWUD9SZU,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 1 1 0 0 0 0 0 0,472,0 1 0 1 1 0 0 1 0 1,28 74 46 81 24 29 47 85 54 4,4.8315,69.5271,1,15.8034 1.3196 1.0556 3.1519 1.6640 1.7679 0.7120 2.3998 0.6719 0.7518
AFKYO1HML5XAP,3YZ8UPK3VUUX0YXWX4E5O2VZ6S8CUV,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 1 1 0 0 0 0 0 0,402,0 1 1 0 1 0 1 1 0 1,3 83 25 4 73 83 18 7 50 56,5.9138,35.1856,2,4.7757 1.4655 2.6200 1.0456 1.9725 1.0678 1.1061 1.3399 0.6317 0.5757
A3ILOYMN67ZQV1,3WAKVUDHUXOROH206N6U8G3L5HI7UY,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 0 0 0 0 0 0 0 0,518,0 0 0 0 0 0 0 0 0 0,70 35 27 64 32 62 53 74 39 62,82.9537,31.0581,0,6.5984 5.1072 1.0737 1.1642 2.5697 1.0386 1.4386 1.0438 0.9673 0.9711
A10VLJT7V96D9W,3G5F9DBFOQ5OULXCOM2BVFUYXRMVHC,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 1 1 0 0 0 0 0 0,486,0 1 0 0 1 1 1 1 0 1,16 59 87 84 55 24 42 60 2 57,37.0143,125.5602,0,15.3999 4.3271 1.2878 0.8800 0.7677 0.7999 0.7039 0.5837 3.0401 0.6318
A3DAMO1OF24IS9,33IZTU6J8295OJGNZVFSNEYLMDBXS2,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 0 0 0 0 0 0 0 0,357,0 0 0 0 0 0 0 0 0 0,0 58 52 3 39 30 16 54 96 9,84.5298,42.1283,0,7.7492 8.9596 1.4077 1.2718 0.9998 1.0318 0.8158 0.7838 1.1519 1.1757
A2V2DBS6NCSIQP,308XBLVESJCMA1D9FAN5872XH85BRK,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 0 0 0 0 0 0 0 0,367,0 0 0 0 0 0 0 0 0 0,19 7 1 27 20 96 2 80 35 80,66.5680,104.1860,0,5.1780 2.0910 0.8780 0.6880 0.4660 0.5150 0.4140 0.5590 0.4450 0.2870
A2S32VZ1BDUHNX,3PJUZCGDJ7OX43JGIH39QKC23GF89W,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 1 1 0 0 0 0 0 0 0,489,1 1 0 1 1 0 0 1 1 1,70 57 12 33 51 61 16 95 74 20,36.7492,66.1649,2,6.9297 5.1481 1.3732 0.8330 2.2063 2.4265 3.6005 1.8417 0.9090 2.4337
AZ1KTVBLOCNMM,32VNZTT0A8C2P2S00VDI0TWR7GP4R8,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 0 0 0 0 0 1 0 0,378,0 0 1 0 1 0 1 0 1 1,46 69 10 8 30 9 63 10 53 80,5.5045,60.1445,1,13.2804 4.8698 1.1612 0.9068 0.6783 0.7862 0.7461 1.5133 0.9722 6.8309
A2C54JB2A8I1YO,3FIUS151DWARCSC6FLL7AEFNVCNGGB,3C8QQOM6JP9I7RY8QYDOJY2P9JIIL5,0 0 0 0 0 0 0 0 0 0,355,0 0 0 0 0 0 1 0 0 1,26 56 23 90 46 14 26 5 30 39,84.6001,22.1203,0,4.7341 8.9436 4.3266 4.0701 1.7980 2.4296 1.5519 0.8458 0.9439 1.9965
