workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A3B0M28EYT4K6,3GDTJDAPVVJCBN2A7Q7EV6IMACL8MV,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 1 1 0 0 0 0 0,423,1 0 1 1 0 0 0 1 0 0,49 28 31 62 32 88 25 42 62 4,4.5730,30.0636,2,4.7096 3.5199 2.5919 2.3039 2.5519 1.3280 1.4639 1.3600 1.1839 0.8399
AM1HY736BY3Z8,3JC6VJ2SACRSM4AJCPA6AVDVE5V5A6,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 1 0 0 0,498,0 0 1 0 0 1 0 1 0 1,97 57 44 49 10 94 27 28 39 53,29.9199,89.2075,1,14.5404 4.0719 2.5436 4.0957 1.5196 0.9440 1.0880 0.7438 0.8400 1.1040
AZ0KS5UTO3EJ2,3STRJBFXOXZ0JJUVPC5T7PM5ZKBKTR,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 0 0 0 0,374,0 0 0 0 0 0 0 0 0 0,11 46 81 43 22 48 42 35 38 8,10.5270,52.3280,2,11.4850 1.4080 1.2650 1.0640 1.2140 1.0080 1.1910 0.9430 0.8250 0.7580
A2H1RXUC8XNNIW,3EKVH9QMEZCYLEU8EGZA2PIPFY1D2F,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 1 1 0 0 0 0 0,577,0 0 1 1 1 0 0 1 1 1,59 31 58 82 20 90 13 96 75 53,8.1491,80.2908,2,8.4463 1.6340 2.2294 1.6598 0.9207 2.4244 1.1144 0.7200 1.0494 0.9113
A199BEMCK1VZZQ,3VAR3R6G1Q90BQNMK6MRNA7R5C08OA,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 1 0 0 0 0 0,507,0 0 0 1 1 1 1 1 1 1,0 10 10 27 90 93 95 54 31 97,82.1754,22.4563,0,2.6443 2.2160 1.6881 3.2324 0.6954 0.8000 0.6239 0.5280 0.5194 0.5758
A15RNM75ICEC05,3GNA64GUZFCK9KH01L7S0VS0INH5QD,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 0 0 0 0,526,1 1 0 1 0 1 0 1 1 1,86 28 83 71 83 7 17 56 85 10,14.0840,64.6531,1,7.6470 3.4952 5.8475 1.0399 0.8878 1.9996 0.7519 0.7678 1.1677 1.0238
A1KQ4XZM996XWW,3DR23U6WE6MXXJ2LTQUQ9U90FNFET1,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 1 1 0 0 0 0 0 0,481,0 1 1 1 1 1 1 1 1 1,0 7 51 67 84 33 7 96 71 65,205.6897,42.7510,2,7.5252 1.7022 8.7705 0.6804 3.1254 0.8255 0.8504 0.6729 0.7507 0.6179
A3A6BVDDO2M1C9,3V0Z7YWSIZ8KFVUU51Z48BOWF54V2V,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 1 0 0 0 0 0 0,500,0 0 1 0 1 1 0 1 1 1,34 12 84 42 90 32 5 77 71 53,159.1288,95.6616,1,8.5031 4.0887 3.6989 2.4287 1.9723 1.9265 1.3897 2.2846 2.4048 2.0603
A297WCJYDD9QBQ,3NXNZ5RS1B5T4PEX8CB3CKG7ZT897A,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 0 0 0 0,404,0 0 0 0 0 0 1 0 0 0,33 30 58 43 30 58 41 33 66 12,46.5713,63.8532,0,7.9897 1.8758 2.5541 3.1823 2.5335 4.4980 2.0642 5.7349 4.7670 2.9619
A1GWIYPFT77XWU,3WMOAN2SRC5G4HJNRKXO0ZRUQ0WNVF,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 1 0 0 0 0 0,334,0 1 0 1 0 0 0 1 0 1,48 15 1 77 35 13 40 35 9 61,70.9448,61.1797,1,12.7508 7.3846 6.3493 1.4155 3.4147 1.1520 1.1360 2.8523 1.9599 1.2653
A1GX2HU95B4AFN,3EFVCAY5L4HMAFWP4TUMFEQ56IQJ82,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 0 0 1 0,523,0 0 1 0 1 1 0 1 1 0,73 30 47 43 12 55 41 93 72 57,96.4550,59.1830,1,13.3530 6.8660 5.1280 7.7600 3.2630 1.3840 1.2960 1.8240 3.7600 1.0800
A2YQ8CKHF3URV9,39L1G8WVWRZTE1AF2NTKKXM8WFZ13P,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 0 0 0 0,531,0 1 1 0 1 1 1 0 1 0,90 4 99 47 56 73 37 35 17 73,30.9831,47.1931,1,5.6380 7.3054 3.0258 1.0829 2.3733 2.0434 1.2172 1.0826 10.4920 1.2412
A357BORERBTE76,34HJIJKLP64UI99H9FIS1QLUZJ24V2,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 0 0 0 0,363,0 1 0 0 0 0 0 0 0 0,2 1 95 12 64 33 7 49 6 94,24.8581,95.1270,1,9.6030 2.0367 1.7075 4.0933 2.6017 1.5389 2.5206 1.2016 1.2105 1.2475
A29X1A8AF3TUQP,3AZHRG4CU5ST7CPX64PK6S3YRNS03K,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 1 0 0 0 0,520,0 0 0 0 1 1 1 0 1 1,10 96 16 7 77 56 60 51 57 90,885.5885,43.2386,2,12.5140 1.7733 2.9757 3.5342 0.9772 4.3638 0.9659 2.3643 0.7993 1.3879
A2O8EA6FYXYEQI,3JAOYWH7VJCSJA3ZC6CDVPY8UDE9LK,31KPKEKW4ALVNNVGVVZOZR6OC2N0BK,0 0 0 0 0 0 0 0 0 0,408,1 0 0 1 0 0 0 0 1 0,67 53 31 2 37 62 31 91 22 12,248.2471,69.7753,0,29.8291 9.1718 5.1072 1.1702 1.5551 1.3390 1.5565 1.2978 1.3679 1.7466
