workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A2DOVCLZX0GLLZ,3C2NJ6JBKBP77QLL3ADDYUUJWM52NV,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 1 0 0 0 0 0 0 0,504,0 1 0 1 1 1 1 1 0 1,14 87 50 50 56 84 63 25 50 25,3.6299,39.3421,2,4.4075 1.1675 1.1460 0.8720 3.3342 2.1911 1.5039 2.0717 0.5999 0.6160
AB9V7IERF6S1C,3FUI0JHJPY6PO4OUPR738Q15XJE33R,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 1 0 0 0,378,0 0 0 0 0 1 1 1 1 1,29 4 67 6 26 63 50 50 58 25,17.6806,45.6151,2,4.9031 1.9845 4.7356 1.2961 1.8096 0.7196 2.2641 2.7919 0.8477 0.6242
AYYSG3O9FNU15,3O6CYIULEE96EW31EVE60W228PSUWW,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 1 0 0 0 0 0 0,427,1 0 1 0 0 1 0 1 1 0,89 1 50 78 33 59 18 40 46 13,39.6230,66.2710,1,5.0230 2.1760 0.4490 4.7190 0.3570 0.4850 0.6130 0.3060 0.3430 0.6120
A19317A3X87NVM,3BGYGHDBBYSBI4WSHRFT66RLLRE224,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 0 0 0 0,237,0 0 0 0 0 0 0 0 0 1,24 7 39 23 39 1 21 13 1 69,2.1012,28.8194,2,4.3136 2.6277 0.3981 0.4296 0.5959 0.3798 0.3959 0.5161 0.4060 0.4505
A1X7I0NL58WNA,3ERMJ6L4DZ08B9XRXLF8H6MR2CH7MG,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 1 1 0 0 0 0 0 0,521,0 1 1 1 1 0 1 1 1 1,32 94 72 61 2 2 92 80 2 84,69.2400,65.4396,1,8.2383 0.9914 0.7914 1.2639 1.3280 0.9278 1.3515 0.9925 1.4558 0.9999
AZYASZ9CPX5W5,3E4GGUZ1T9Z6ZK0I6XLX62DF2R0K28,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 0 0 0 0,431,0 0 0 0 0 0 0 0 0 1,41 88 35 74 16 13 48 9 50 57,76.5970,30.4340,0,8.4200 8.7740 3.9850 2.1520 0.8830 0.8090 1.1260 1.7720 0.5690 0.7980
A1NRWXWPCAXDYP,3OONKJ5DKDRJDOLTNI61ECXSG2MOBX,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 1 0 0 0 0 0 0,344,0 0 1 0 0 1 0 1 0 0,41 42 48 50 45 48 1 51 10 8,94.7300,31.6530,0,10.3490 7.2810 9.4820 20.6800 36.2160 20.3290 11.4310 24.5290 12.0860 4.5120
AH782RYTVQNSW,3ZSANO2JCGFOOXP2Z196H7YESPISFH,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 1 1 0 0 0 0 0 0,453,0 1 1 0 0 1 0 1 1 1,62 80 80 6 4 11 43 44 81 42,57.5320,42.0932,2,7.2935 4.0557 2.8078 7.5516 1.4238 1.1438 3.8477 3.9835 2.3598 1.2397
A18T9V3QVDOGCY,3PJUZCGDJ7OX43JGIH39QKC2DXG986,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 1 0 0 0,364,0 0 1 0 1 1 0 1 0 1,86 4 28 9 23 85 2 18 21 88,25.2947,242.8716,2,5.5400 7.1279 2.0639 13.5038 0.6959 0.3920 3.1921 1.5277 0.6798 1.1679
A2OLQUU01EOJLH,3B3WTRP3DCAMIOHR20U8GTZZRXP29X,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 1 1 0 0 0 0 0 0,513,0 1 1 1 1 0 1 1 1 1,31 33 89 82 56 11 54 33 60 64,32.5387,53.8411,0,9.6298 5.5593 4.5673 2.2800 4.7446 2.1995 1.8805 1.7917 1.7920 6.1598
A5QT4EG0GLOUP,3ERET4BTVNHHZ4LHR60CGPLT8XBK91,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 0 0 1 0,381,0 0 0 0 0 0 0 1 0 1,23 22 83 86 9 0 6 34 32 86,74.8565,69.6649,1,16.6545 6.4191 16.1569 4.9464 0.3090 1.7996 2.6973 0.3421 0.3605 2.8368
A2HVC8SI20PCJ7,3NJM2BJS4XEK8TP0GIFBEW808SKCPB,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 0 0 0 0,337,0 0 0 0 0 1 0 0 0 0,40 37 10 46 2 13 18 46 95 30,99.9384,95.4642,0,13.2050 8.0718 8.1177 4.2160 3.3917 4.8079 2.1921 3.4637 1.7998 3.1362
A3NEJLDF75PC11,31Q0U3WYDQNBFKB24ZWAXEYO41O174,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 0 0 0 0,517,1 1 1 1 1 1 1 1 1 1,92 91 55 2 56 6 58 53 87 17,16.9394,49.9752,2,4.4045 6.3358 0.8238 2.2400 0.6319 0.5519 0.4479 0.6238 0.4799 0.5039
A2K4IEJ7AJA2KM,37C0GNLMHGBM3FD91IBDS2Z1YN8D68,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 1 0 0 0 0 0,505,1 1 0 1 0 1 1 1 1 0,63 11 42 93 43 7 85 57 58 46,3.0090,32.0170,2,2.3810 3.2270 0.9270 4.2660 3.9350 0.7770 0.8140 1.4050 1.6070 1.5820
AOJF7CPZVK5U3,3VBEN272ML7U2XLXALFOZSYQT4MSGK,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 1 0 0 0,358,0 0 0 0 1 1 0 1 0 0,3 20 61 48 7 95 30 13 36 45,30.0780,23.6950,1,2.8040 1.1990 0.8150 1.0650 0.7760 0.7760 1.8960 0.7600 0.7360 0.5670
A3M1FJQLYPR8X8,3PJ71Z61R5AFT3ZVJWUUBAPUZRF19J,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 0 0 0 0 0 0 0,348,0 0 0 0 0 0 0 0 1 1,80 23 41 50 49 49 1 42 3 10,63.9632,31.9503,0,12.0834 8.7732 2.1896 6.2251 3.0133 3.9632 2.7908 6.4806 6.2030 1.9646
ALDQRWYZ8KQ9A,3NGI5ARFTUD0LQF20LQRX0P94V4P19,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 1 1 0 0 0 0 0,473,0 0 1 1 1 0 1 1 0 0,0 82 67 90 50 29 74 52 1 28,51.2840,17.3771,0,5.7906 1.4797 1.2714 1.3354 0.8156 4.8561 0.7198 1.2717 1.4558 1.4879
A3SSR32EZYJ8QD,3R0T90IZ1TKEVGW1DZPOKNU871DGCR,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 0 1 1 0 0 0 0 0,498,0 0 1 1 1 1 1 1 1 1,9 22 83 53 98 85 42 69 1 36,52.5110,23.4170,0,4.3020 3.7600 6.3030 1.1690 2.0800 3.0400 1.1520 1.1120 1.3750 0.8720
A309Q5JHZ054MA,3YGXWBAF71PYJ03HIYNNBYX5HW44CS,3DQYSJDTYLJ1RGDB8YQL9DZKPHZXEC,0 0 1 1 0 0 0 0 0 0,668,0 1 1 1 1 1 1 1 1 1,21 50 98 82 98 33 93 86 96 11,37.2280,21.8007,0,11.3626 4.4873 5.4498 5.1858 6.5376 3.1577 2.9079 4.0398 3.1242 1.9059
