workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A36EQY1C3861DM,31EUONYN2WBYM2JZSZX1FORZKNTVOO,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,441,1 1 1 1 1 1 1 1 1 1,13 99 79 19 2 55 84 5 37 48,21.9362,38.3357,1,5.4977 4.4316 4.4793 1.7039 1.3759 2.5707 2.0558 1.0878 0.8800 1.1040
AY3WQH3I3HT4D,3OCHAWUVGPS7003FUM6QWS7BGTRKXW,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,368,1 1 1 1 1 0 1 1 1 1,45 17 43 94 21 28 30 36 6 48,19.2906,55.0219,1,7.2359 1.5394 1.0600 1.4404 1.5999 1.4989 10.4733 2.4195 2.8233 2.5950
A3AKC05FG3TJZP,3R08VXYT7D34GLR51NLVQ4OI17M7WL,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,452,1 1 1 1 1 1 1 1 1 1,32 19 30 21 33 92 57 86 52 30,87.4492,53.9044,0,8.1875 5.0038 6.8459 2.9820 2.1180 1.3360 4.2620 1.2560 1.9420 0.9120
A1PFYGDRXL7QYR,3EFVCAY5L4HMAFWP4TUMFEQ5AVJ8JE,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,436,1 0 0 1 1 0 1 1 0 0,79 42 9 87 3 22 72 15 42 65,178.3635,40.5204,0,7.9171 10.8399 4.3356 1.1999 3.0554 1.1198 2.8075 144.5359 1.5280 2.5440
A8YYGFDWG66NG,32EYX73OY1H160MFF140DXULH35UR8,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 0 1 1 1 1 1,439,1 1 0 0 0 0 0 0 0 1,39 35 37 65 41 32 41 25 44 80,5.5452,50.7890,1,6.6710 4.2862 1.8404 2.3124 0.9859 0.8481 0.7081 1.2239 0.7958 0.8328
A16GH5GPKBX5GA,379J5II41PO9E6UGKHSZN3ZJPNMLES,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,527,1 1 1 1 1 1 1 1 1 1,21 83 3 88 98 16 51 22 82 63,3.5413,45.3616,2,14.4945 1.9615 1.9116 1.8718 2.1271 1.0637 0.9115 1.1507 6.0232 1.1762
A3PPZ0USXDFBJ7,31LM9EDVOM07DMJTAVJ5XBG0ZQJNJI,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 0 1 1 1 1 1,547,1 1 1 0 0 1 0 1 0 1,51 74 27 66 47 90 89 1 38 64,33.8268,46.0893,1,7.4426 2.4317 5.9960 5.2487 4.2139 3.6322 1.5978 1.5431 1.2362 2.3382
A2YW509B0UMSEH,35BLDD71I75AL6X6U88IVMY34RYVZS,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 0 1 1 1 1 1,530,1 1 1 0 0 1 1 1 1 0,58 86 9 71 4 99 92 48 55 8,7.3640,60.4710,2,10.5242 3.0638 6.8078 0.5838 4.1116 3.3919 1.1118 0.8079 4.0477 15.5596
A2V4N6HR0UCHV5,3XIQGXAUMDGJ5LWVBSHHSN2PA9V7XH,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 0 1 1 1 1 1,382,0 1 1 0 1 0 0 1 1 1,42 44 28 47 0 23 22 73 18 85,4.9450,40.0120,2,12.3340 1.3020 1.5490 0.8070 1.9690 1.2820 0.7550 2.5150 0.9900 1.0000
AZS1ZZRYENXVK,3QILPRALQ63IT5NAJRME8L7MJGTN84,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,478,1 0 1 1 0 1 0 1 1 0,59 1 73 65 40 49 5 68 34 84,2.4321,30.3510,2,2.2247 0.5943 1.7606 0.5759 0.6715 0.5757 0.4718 0.4798 0.5277 0.5438
AH31KYC8IKTZZ,32Q90QCQ1TTYU0CYZHGY83M40OREKU,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,597,1 1 1 1 1 1 1 1 1 1,64 31 20 59 94 96 95 14 62 62,180.6310,95.5720,0,8.4560 2.0020 1.1480 3.7000 1.2770 1.0640 1.1660 1.0310 0.7120 0.9880
AH7Z2M3KSQ4DW,3LRLIPTPERHV4NVMJCECCKWDF9SAKU,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,438,0 0 0 0 0 0 0 0 0 0,75 26 41 23 68 67 73 18 26 21,14.4802,52.5835,1,20.3999 5.3967 4.4541 1.3416 3.6908 1.4169 1.9702 1.9659 2.1679 1.5209
AS1KZER3TIWJL,3JV9LGBJWUMF45T434YFFNOPX9JGO0,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,515,1 0 1 1 0 0 1 1 1 1,100 5 70 11 38 11 82 49 54 95,14.5212,60.0151,2,9.7161 7.2165 1.0406 2.2000 3.6488 2.2731 0.7444 1.0643 1.0802 2.9520
A2KSI0U1IE3FY2,3TDXMTX3CC23BQTVTWCOJZFERMI6IU,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,548,1 1 1 1 1 1 1 1 1 1,97 21 65 86 53 4 78 9 53 82,28.2078,47.3671,0,7.9341 5.2309 2.3207 1.2554 3.3714 1.3972 1.2883 2.7012 2.6727 1.9193
A26MHSME6PFECG,3A1COHJ8NK3QJ91ZGTR131AQX42H87,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,570,0 0 1 0 0 1 1 1 0 0,13 24 95 43 57 66 98 32 91 51,3.8110,48.0190,2,6.7349 5.2693 0.9728 1.6162 0.7677 0.5780 0.9220 0.4784 0.5111 0.8119
A1HOBE19VQET60,34Q075JO1YLXX9BIJ0B1IZO1XHU105,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 0 1 1 1,329,0 0 0 0 1 0 1 0 1 0,25 24 24 17 8 32 29 95 41 34,45.3309,50.7517,2,3.5788 5.6195 6.4920 1.1101 5.1558 0.7859 2.6259 0.5562 0.6556 1.2202
AGDZXSWMXWNLX,3OHYZ19UGDDEUEG1H465J1DMZEGOA6,3YKP7CX6G2N95YV0GUKXE6GBKVY7BQ,1 1 1 1 1 1 1 1 1 1,387,0 1 0 1 1 0 1 0 0 0,13 44 16 95 4 53 11 1 50 100,3.7132,94.1675,2,5.0613 3.8878 3.5118 0.7117 0.8157 0.6399 2.5278 0.6799 0.4399 0.8161
