workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A1TEXCUTI4IUUN,317HQ483I80BIBZNSDY5LA10QHENI6,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,533,1 1 0 1 1 1 0 1 1 1,18 77 44 83 86 57 8 70 86 4,14.8650,22.3040,0,4.0930 1.2960 0.5530 1.5270 0.6380 0.5530 0.3680 0.4470 0.5450 0.4870
A1ZO4O2D0OMNLG,3PM8NZGV8ZOTB31A7RQNSEJKJ55XQ3,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,321,1 1 0 0 0 1 1 1 1 1,81 20 21 6 0 63 29 68 33 0,14.1000,31.8570,0,8.1390 3.2150 1.0070 2.0710 0.8630 0.6710 0.6790 0.7030 0.6560 0.6390
A2ZB24AEN6N7Y3,358010RM5F1LGBXRTQKXY1IS0XKXVX,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,419,1 0 1 0 1 1 0 1 1 0,77 64 73 24 24 17 34 65 6 35,4.1774,13.7125,0,4.7704 1.0238 1.0239 1.1439 0.9118 1.1598 2.1838 1.2799 1.4478 0.8240
A1UA5KIVHF9I26,30H4UDGLT3QXHF1RT79PHSDC75ZPMK,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,645,1 1 1 1 1 1 1 1 1 1,80 90 97 62 86 36 32 99 59 4,55.9727,17.8158,0,6.3935 3.8716 3.8795 2.4957 3.8156 1.9996 1.3040 1.1280 1.6240 1.2884
A2PJTR5IJ8OUIS,336KAV9KYR01JPPZACMOFASQ55LY2W,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,633,1 1 1 1 1 1 1 1 1 1,90 68 77 72 65 23 82 81 64 11,7.5922,54.1212,1,8.0134 4.7601 0.8238 0.4237 0.8956 0.5039 0.5203 0.5755 0.6077 0.5039
A35CL66BEUSJ5Z,36U2A8VAG27W05TPZISSF6EKM57YKI,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 0 1 1 1 1 1 1,523,1 1 0 1 1 0 1 1 1 1,75 21 49 85 38 5 75 89 86 0,7.1325,33.0296,1,1.8349 0.8475 0.3840 0.4800 0.3200 0.2398 0.4001 0.3516 0.3200 0.2896
A15CQ19I1V6V0J,3Z9WI9EOZ0WAEA30PIO4T6JHW9UKH5,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 0 0 1 1 1 1 1 1,399,1 0 0 1 0 0 0 0 0 0,23 34 97 51 3 77 6 20 37 51,29.4724,98.9632,1,7.3101 3.3835 2.5437 1.1916 4.9199 3.1196 5.2723 0.6797 2.1998 3.4958
AY5KL61IB7LW7,3COPXFW7XCK2RR1O8VW92FL8I04KPA,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,362,0 0 0 0 0 1 1 1 1 0,36 14 17 2 31 97 61 60 7 37,11.9770,79.2950,2,9.5420 6.9860 7.3280 3.7210 2.2300 12.5140 1.2620 2.1020 1.1230 2.9280
A98E8M4QLI9RS,3MHW492WW1LAMZYNFJIONK2UTT0VMB,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,625,1 0 1 1 0 1 1 0 1 1,70 67 75 45 54 71 63 35 83 62,61.3910,31.6260,0,3.7020 2.7480 0.8520 3.6520 0.6740 1.5950 3.1890 0.9290 0.7850 0.9610
A3P89M76J7BMUZ,32M8BPYGAUU58JI159LAVQS3P5SGIR,31HLTCK4BL377547EEFRLVNBN9TGV7,1 1 1 1 1 1 1 1 1 1,403,0 1 1 1 0 0 1 1 1 1,14 15 94 14 12 16 63 61 61 53,4.9699,68.0732,2,3.6448 3.7385 1.8176 1.6327 0.4085 0.3369 0.3680 0.5126 0.3594 0.3526
