workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A3J2T92V25NJ83,320DUZ38G8U13U27NR6A7R732T8GJC,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 1 1 1 1 1 1 1,501,1 1 1 1 1 0 0 1 1 1,27 53 50 49 28 5 15 83 96 95,4.4910,16.9908,0,2.6939 1.7540 0.5617 0.5396 0.4547 0.4401 0.8355 0.2939 0.3916 0.3109
A29QNWCVA5VHFY,379J5II41PO9E6UGKHSZN3ZJT2YELV,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 1 1 1 0 1 1 1,440,1 1 1 1 1 0 0 0 0 0,57 17 64 16 70 88 34 59 33 2,4.3801,45.7018,1,5.5631 1.1437 1.1359 0.6710 0.5041 0.4240 1.6329 0.9521 1.0321 0.5609
A2KK0HB33IYIH6,3M68NM076IFG4PWEJJ6XXRG5IWZ6RS,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 1 1 1 1 1 1 1,445,1 1 1 1 1 1 1 1 1 1,19 79 64 37 68 0 29 3 66 80,25.8520,42.3350,1,3.3290 6.8380 1.2240 0.8100 0.6890 0.7260 0.5870 0.9000 0.5670 0.6330
A1XAFKGJBBH6S5,3D8YOU6S9FS8KHOVND12223PPV36UW,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 1 1 1 0 1 1 1,412,1 1 0 1 1 0 0 0 0 0,83 32 37 14 1 78 97 4 32 34,4.8555,37.8721,1,8.2895 4.4191 0.6641 2.5268 0.8362 4.6151 1.9949 1.6612 0.6477 0.6234
A3FXVNZ5VG98IP,3HUTX6F6VVVPPBLX4PDQDJUOR4DO2K,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 1 1 1 1 1 1 1,404,1 1 0 1 1 0 1 1 1 1,31 72 10 14 1 22 64 95 27 68,23.3539,22.5996,1,4.2854 1.7839 7.8318 1.1519 0.6079 0.8399 1.2719 0.6559 0.7119 0.5599
AG491SO5WFQ8X,34S9DKFK74XX8BESWVK87YVOG93NYL,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 0 1 1 1 1 1 1 1,656,1 0 1 0 1 0 0 0 0 1,29 100 72 77 46 97 52 70 66 47,18.1395,59.8911,2,4.3832 2.1054 1.6966 0.8182 0.6335 1.2092 1.0812 0.9064 1.0431 0.6630
A2CR0VOEH7P7L4,378XPAWRUDL4YS5YJ9T0Z4H0RJ7AIJ,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 0 0 1 1 1 1 1,489,1 1 0 0 0 0 1 1 0 1,75 18 64 60 25 53 50 61 36 47,9.9513,35.8873,1,5.4943 4.3290 2.0367 1.3855 3.7564 6.7189 3.1937 7.7198 1.4847 1.6643
A16JX1MOPDCYDN,304SM51WA4CYBGDMUZNAYH7TIZTSBN,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 0 1 1 1 1 1 1 1,606,1 0 1 0 1 0 0 0 0 1,53 71 74 14 74 64 98 54 95 9,11.8065,54.6721,0,3.3979 0.9913 0.9681 1.5677 0.9195 2.4711 1.2316 1.2636 1.3449 0.9596
A1G85N52LLUS1T,3483FV8BEFRZ05FT4TRWWJ8X64K26A,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 1 1 1 1 1 1 1,422,1 0 1 1 1 1 1 0 1 1,47 3 0 99 73 2 63 82 0 53,132.7890,41.9406,0,6.1648 9.7325 1.6378 2.1044 1.2891 1.4359 0.8147 3.4088 1.3304 2.1901
A2C9NR5DY668JU,3M23Y66PO3FS54WRY862N1L14YJ6SH,3OJX0UFJ0ZFSFGSZVIZCXSZ55QI9UF,1 1 1 1 1 1 1 1 1 1,649,0 0 0 0 1 1 1 1 1 0,65 87 47 67 66 98 90 98 25 6,90.2962,51.8152,2,1.9558 2.9358 2.9760 1.3437 1.0240 0.7199 1.0719 1.4000 0.7280 0.5120
