workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
AKQAI78JTXXC9,3DIP6YHAPD0EZZAXQSJVIYDD1BN8E1,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 0 0 0 0 1 0 0,351,0 0 1 1 0 0 1 1 1 0,78 21 9 88 2 0 61 17 37 38,43.3608,32.3516,1,6.4304 5.6159 5.3440 4.9120 0.6245 0.7199 1.4159 0.9518 1.4645 0.6080
A2B8JGCVGBDTL5,3WJ1OXY92BOB9MTLANH9MFNMGWP8A6,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 1 1 0 0 0 0 0,611,0 0 1 1 1 0 0 0 0 0,0 15 95 57 93 54 73 94 80 50,26.9449,10.6892,0,3.8610 3.0253 4.2526 1.4901 0.9072 1.6754 1.0445 1.8431 1.6971 1.5206
A2MTOSH583K270,3SPJ033422B1PLN7HXSGERE7ZYMJYB,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 0 0 0 0 0 0 0,545,0 1 1 1 1 1 1 1 1 1,86 41 57 85 75 71 23 59 1 47,6.2154,38.6475,2,4.6882 1.9755 2.0554 1.8546 0.8150 0.7116 0.6076 0.6313 0.5346 0.4634
AG49MWP1L0DXJ,3FDJT1UU75GYYHJ5OGNV49GRJIIK5V,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 0 1 0 0 0 0 0,513,0 0 0 1 1 0 0 0 1 0,27 9 38 80 3 86 95 64 61 50,8.5352,37.5102,2,19.3206 2.9841 1.7677 1.4960 3.3524 1.1598 1.2315 1.2563 0.7518 1.2003
A2EH7IQCDH2Q5D,3Z3ZLGNNSJ2HV5UWN2JZLYUG4SJQ33,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 1 1 0 0 0 0 0,462,1 0 1 1 0 1 1 0 0 0,89 44 53 57 34 1 43 51 47 43,9.9758,35.1670,1,9.5077 3.1923 0.8477 2.5204 1.1757 1.0713 1.2635 1.0639 0.5118 0.6876
ARITIX6BW78ZK,31Z0PCVWULNCO4NB6IGK3KHJT14T7P,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 0 0 0 0 0 0 0,427,0 0 0 0 0 0 0 0 0 0,2 28 69 28 24 53 23 33 76 91,20.1449,62.4468,1,7.6233 9.5530 1.4288 1.7476 1.2431 1.3095 1.1779 1.5655 1.6054 1.1103
A3SLXLALO5SQXY,3B4YI393VA4XS2UO5L95O6HTEW3SSM,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 0 0 0 1 0 0 0,568,0 0 0 0 0 1 1 0 0 1,57 89 93 36 50 89 50 15 43 46,73.6310,34.5080,0,8.3110 7.4130 7.8520 2.2160 2.2950 1.6200 1.2600 1.2260 1.2380 1.4730
A37UA93MBSZ7JI,3VHHR074H4PO5RF6X9ETHT72ZOI7L0,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 0 0 0 0 0 0 0,305,0 0 0 0 0 0 0 0 0 0,42 4 30 63 27 13 9 29 36 52,32.2523,104.6810,0,22.5433 4.8553 3.1589 3.4128 1.2398 1.7198 3.6241 1.7762 1.2642 2.7280
A1XHEZDBBODJLY,3M0BCWMB8W4RIXUVE4XBV6AEGLDWB4,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 0 0 0 0 0 0 0,530,0 0 0 0 0 0 0 0 0 0,61 11 31 69 93 66 25 23 65 86,53.9952,31.9808,1,7.2112 1.7447 5.5491 1.4226 0.8574 0.8375 0.7267 0.9885 0.9382 0.9580
AKVPHW3BEA93M,3KKG4CDWKJ6WL2WE6EDW98WX8SC94M,3WPCIUYH1AGPITQR7TE4ESWTCY3DTN,0 0 0 1 0 0 0 0 0 0,355,1 1 1 0 0 0 0 0 0 0,35 23 12 4 43 16 50 76 4 92,24.9670,39.3575,2,3.8089 1.0655 0.8708 0.6569 0.6497 0.6093 1.8759 0.5765 0.6311 1.2500
