workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
AH4KZU52G2WCN,3DQQ64TANHTTMRV5X9FCQQF3YG8WPO,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 1 0 0 0 0 0,493,0 0 0 1 1 0 1 0 0 1,84 40 14 94 17 62 69 32 16 65,66.9052,39.2633,1,3.6837 4.5678 2.9039 1.7918 1.5359 0.8079 1.6480 1.2395 0.8959 0.9520
AYQI8UYG2CKP,3ZPPDN2SLW4ED4T7VKP9IU8OM8M9ER,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 1 0 0 0 0,566,1 1 0 0 1 1 1 1 1 1,44 80 15 28 58 18 81 77 87 78,38.9604,45.9954,2,11.1721 0.8465 0.8001 0.6460 1.0826 0.6360 0.4979 0.5810 0.5814 0.7298
AU9T7P03693JN,3RANCT1ZVGPEQT5QJ4IADIPHWWJBUK,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 0 0 0 0,395,0 0 0 0 0 0 0 0 0 0,31 100 12 24 33 46 40 46 2 61,85.7104,54.2551,0,11.8936 3.5543 1.3669 1.3660 0.9655 1.1979 4.1579 1.5278 0.9246 1.1657
AQPDPI1FHIMA1,3R5F3LQFV3SFVMO9TWM40U4V5DGZO0,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 1 0 0 0 0 0,577,1 0 0 1 1 0 1 1 0 1,49 48 3 97 53 69 100 49 54 55,103.3308,119.5477,1,17.6042 4.0857 9.2364 5.7599 10.8817 15.8377 12.8340 6.3717 8.4919 5.7239
A2LYNPSIOV2Y9I,3RKNTXVS3N6AQL6JYKRW537HF1AA41,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 1 0 0 0,472,0 0 0 0 1 1 1 1 0 1,74 7 67 27 20 82 80 14 18 83,35.8848,37.2567,1,5.5011 1.7471 10.1554 0.8616 0.5779 1.0040 0.6472 5.0778 0.6903 0.7480
AO6J6WQVRE5YZ,3YJ6NA41JCO7G7V6QAWX10LVWK0PJN,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 0 0 0 0,295,0 0 0 0 0 0 0 0 0 0,98 6 55 22 46 18 11 28 3 8,88.1311,80.5453,0,8.6770 9.2077 6.9848 3.6075 3.2167 5.4561 2.4874 7.3759 12.5756 1.8160
A2LNRAOXEZWU9T,3QAVNHZ3ENC6OTD44CQDRK9S1N5LA5,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 0 0 0 0,522,0 0 0 1 1 0 0 0 0 0,27 75 70 32 33 78 84 29 16 78,11.6609,41.5605,0,12.8880 3.1176 1.0175 5.3010 1.1655 1.1959 0.8537 5.6837 5.0535 0.8936
A2OV6HGKJJ27L9,3U4J9857OFJCSITU6WPZ3QBXOLLB7H,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 0 0 0 0,536,1 0 1 0 0 0 0 0 0 0,13 55 29 89 50 64 21 97 99 19,3.0201,86.0745,0,5.5053 4.3804 3.3514 4.3260 3.6382 2.4227 2.0736 0.6390 0.8733 1.0371
A19LVWX8ZLO6CS,3MAOD8E57RI886OIRZY6OKOF73ENXD,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 1 0 0 0,486,0 0 0 0 1 1 1 0 0 0,62 75 59 11 18 87 28 80 21 45,65.8940,26.2270,1,2.2170 1.2380 3.0160 0.9590 0.9680 0.6480 1.8400 0.3200 0.3270 0.2960
AKC4XKDQZMJ30,3P59JYT76MS523Q506ZP7T0BJCZT29,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 0 0 0 0,669,0 0 0 1 1 0 0 0 1 1,25 82 85 60 59 89 27 66 92 84,53.2612,49.6219,0,9.3501 7.6199 5.7712 1.8202 2.5284 2.2076 1.6231 0.9499 2.8842 2.4183
A2V6SELV8D1AEI,3AMW0RGHOEA3ZXMR58OPU72C545NPP,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 0 0 0 0 1 0,522,0 0 0 0 1 0 1 1 1 1,62 89 77 3 57 30 35 78 67 24,355.4920,22.3820,0,19.1030 2.5800 1.8230 5.0150 1.8040 1.5440 1.7360 1.9130 2.5270 3.9220
ACXUUWF75RR6C,3GM6G9ZBKO5V97UYAOI9M2E9PHGTM0,3YD0MU1NC294MOQ8AGK1JVW52147AY,0 0 0 0 1 0 0 0 0 0,528,0 0 0 1 1 1 1 1 1 1,76 45 17 54 96 86 59 1 71 23,55.7020,183.5250,0,26.4290 12.4410 8.1470 9.9480 5.1780 32.9350 6.5640 3.0300 2.9250 3.8120
