workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A3BCKNE5CWHODZ,3M0NZ3JDP26TNCIROHQ5RO44OF75ZR,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 1 1 0 0 0 0 0,500,0 0 1 1 0 1 1 0 1 1,13 12 66 27 39 90 67 40 82 64,41.6169,57.3588,2,6.9690 5.9593 1.5595 1.9991 1.1917 1.2469 2.0812 0.7597 1.6795 1.2715
A9I6LVY4CKEN0,3OF2M9AATHWW5V3UV4UBTDNML52KZR,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 1 1 0 0 0 0 0 0,336,0 1 1 1 1 0 0 1 1 0,47 63 69 21 17 14 48 35 1 21,73.0160,50.2240,1,14.7540 4.8880 8.3100 8.1910 10.4030 2.2000 9.4720 2.3820 4.6230 1.7920
A2DZW5E52SJ93H,3PZDLQMM0UTOGMOUEK4ZIJ07VNUC2Y,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 0 0 0 0 0,414,1 1 1 1 0 0 1 0 0 1,10 60 31 91 88 2 28 45 24 35,17.6767,98.3934,0,8.6569 2.6019 2.5330 1.7640 2.1505 1.0397 1.3699 1.2380 0.3700 0.3669
ASC9DUCC64M3P,3EFVCAY5L4HMAFWP4TUMFEQ577V8JB,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 0 0 0 0 0,345,0 0 0 1 0 0 0 0 0 0,52 51 27 5 13 19 45 81 18 34,76.0903,72.1052,0,7.4567 6.1314 3.0376 5.0288 1.1585 4.6803 1.2709 1.7775 5.3329 1.2487
A3S3M6V1TWVNCP,3DR23U6WE6MXXJ2LTQUQ9U90GCKETL,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 1 1 0 0 0 0 0,367,1 0 1 1 1 0 1 1 1 1,29 3 54 54 61 19 74 50 12 11,9.7343,49.3418,2,9.4764 3.4047 1.1094 1.6700 1.1701 0.8803 1.2201 1.1196 1.0697 1.0347
A2GOS6NF74E2ST,3BV8HQ2ZZX9O58AXH8KB21RVBPB6A7,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 1 1 0 0 0 0 0,361,0 0 1 1 1 1 0 1 1 0,13 0 89 67 57 47 8 2 11 67,271.2980,23.2087,0,4.9369 4.6115 2.3885 1.5078 2.1842 3.0378 2.5061 0.8080 1.1592 1.1717
A1IF8DTB261OAY,3KIBXJ1WD62K6RPNTVJUDFGI11ZKOP,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 0 0 0 0 0,659,0 0 0 0 0 1 1 0 1 1,95 94 13 83 76 16 68 52 76 86,16.9970,75.8620,1,4.8090 4.4820 2.9660 5.7840 2.1280 3.9160 3.2590 0.9280 0.9500 0.9340
A38V38OZAP6O0,3634BBTX0P2ZUJM6UPFSD5SRHWJIFQ,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 0 0 0 0 0,375,0 0 0 0 0 0 0 0 0 0,6 60 13 42 75 2 68 50 57 2,43.6188,242.8623,0,23.4573 4.9449 2.8401 5.5719 9.3035 1.6393 1.0642 4.1786 1.8190 1.8899
A8T0OMJKQW52,34MAJL3QP5VA607YP5CMIVTB9OD43O,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 0 0 0 0 0,463,0 1 0 0 1 0 1 1 0 1,96 11 68 76 15 6 76 74 24 17,57.4190,152.2220,2,19.4170 39.1350 5.7700 2.9100 1.6680 2.3500 0.9780 2.0000 0.8450 1.2710
A24UW5LJPVNWA9,3JW0YLFXRUOJ60S69VT7IKNZRA7WW9,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 1 1 0 0 0 0 0,553,0 0 1 1 1 1 1 1 1 1,25 82 65 70 42 77 60 92 10 30,71.5330,31.3991,0,6.0218 3.9989 8.4925 2.4179 2.4201 3.2851 1.8038 4.6710 4.2854 2.2179
A3G79KHMDV51Q8,3VW6495TLK8RKAI63XTJOETVDQ7YY9,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 1 1 0 0 0 0 0 0,624,0 1 1 1 1 0 1 1 1 0,15 68 35 61 85 50 65 73 100 72,94.3650,34.8950,0,8.7420 8.2360 5.0530 3.9560 33.8190 5.5200 2.5340 3.8950 5.1110 3.4830
A1E5B87J2RE98,35GMH2SV3FPHKRXDX98RFK3DH44OEA,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 1 0 0 0 0,709,1 1 1 0 1 1 1 1 1 1,85 53 95 48 95 67 90 96 14 66,26.9820,51.5180,1,7.4400 1.5140 0.7750 0.6480 0.5930 0.4530 1.2200 0.4730 0.4270 1.1840
A3QIEF1HBF69Y4,3X1FV8S5JYZAUP214GKTAFIXQDFVGZ,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 0 0 0 0 0,479,0 0 0 0 0 0 0 0 0 0,50 14 49 63 95 42 6 87 36 37,76.5742,47.0148,1,5.8317 5.2808 10.1746 4.1079 4.4536 2.9777 2.4657 3.2547 3.2071 2.7925
ATHFMB8TXGNQD,39U1BHVTDMZUNLMO46DUQ353PNUT39,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 0 0 1 0 0 0 0,389,1 0 0 0 1 0 1 1 0 1,51 94 7 7 37 22 64 21 72 14,49.2272,85.0719,1,7.3369 6.0709 10.2177 7.3979 1.4842 5.1642 1.2888 1.6563 1.0171 0.9315
APYYV3B1MT2B6,3W8CV64QJ37QXEK9LLXF3X51ELA9HX,3UDTAB6HH67CZUGJXBLS8LBYO5B097,0 0 0 1 0 0 0 0 0 0,495,0 0 1 0 0 0 1 0 1 0,26 50 95 20 0 50 95 86 70 3,5.6715,76.7371,1,9.8589 2.8532 0.7155 0.7676 0.6882 0.6017 0.6019 0.6277 0.6024 0.6540
