workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
58c57df83783090001b49acb,668ae3fb89b899b8acf1e11f,668ae667ac0dc505afbb0612,0 0 0 0 0 0 0 0 0 0,498,0 0 0 0 0 0 0 0 0 0,45 45 86 47 49 24 88 57 19 38,6.2425,21.0791,0,3.8869 4.3971 0.8489 0.6956 0.7438 1.0047 0.6554 0.6803 0.8205 0.8351
5e14ca0711d879af3ad1ec11,668ae3fb89b899b8acf1e11f,668ae5f2fb6d04bd8bc42e4a,0 0 0 0 0 0 0 0 0 0,510,0 1 2 0 1 2 0 0 0 0,99 47 33 9 36 11 100 58 25 92,86.2090,23.4110,0,3.7800 4.4750 1.4240 1.3100 0.9150 3.4060 3.1590 1.6700 4.4800 2.6280
66606204672876d93741772f,668ae3fb89b899b8acf1e11f,668ae62fc50f18cb2ed59aca,0 0 0 2 2 0 0 0 0 0,528,0 0 2 2 1 1 2 0 2 0,89 7 94 77 43 14 20 86 15 83,50.9538,36.5288,1,7.2711 4.7264 4.7575 3.5580 1.4474 1.6859 2.1818 1.0428 2.4067 1.9035
62c42f2a71eaa9a22efe1401,668ae3fb89b899b8acf1e11f,668ae6d22a88af987360f481,0 0 2 0 0 0 0 0 0 0,364,0 2 1 2 0 1 1 2 0 0,26 49 19 45 51 66 23 62 0 23,23.4340,31.7970,1,4.2830 3.0860 2.3490 2.6570 1.0750 4.2490 2.6800 1.5740 1.0630 1.5890
60f329e791509f40c74a87ad,668ae3fb89b899b8acf1e11f,668ae6a52a88af987360f47b,0 0 0 0 1 0 0 0 0 0,604,2 1 0 1 1 2 0 1 1 1,63 77 7 83 80 20 57 97 66 54,31.5434,18.4168,0,6.1841 0.4621 8.0458 5.0940 6.4482 9.7553 5.8524 3.2823 0.6408 2.6004
6328a1568793729b8188732a,668ae3fb89b899b8acf1e11f,668ae7768f337c49ea9f1674,0 0 0 0 2 0 0 0 0 0,480,0 0 0 2 1 1 1 1 1 2,56 24 29 48 81 55 61 68 53 5,5.3040,23.7660,1,3.8840 4.3100 3.9610 2.9400 0.3350 1.1890 3.7670 2.0110 4.5930 6.4810
665e100510e35fe9ec1dbb98,668ae3fb89b899b8acf1e11f,668ae6d11204fdd720c43ccb,0 0 0 0 0 0 0 2 0 0,513,0 0 0 1 0 1 2 2 0 0,71 51 19 19 40 6 88 63 82 74,62.9184,51.6600,1,13.6189 5.3179 6.5742 3.4793 0.9433 0.7169 2.7945 3.8254 4.5971 8.4914
666709dc52745041d12df290,668ae3fb89b899b8acf1e11f,668ae73faede3ef1bf0db7fd,0 0 1 0 0 0 0 0 0 0,370,0 1 2 0 0 0 0 0 1 2,17 20 7 13 69 55 28 62 75 24,38.1042,73.7042,2,4.7099 5.9591 3.5518 2.5531 0.5843 0.6139 0.5444 0.6162 0.3598 0.7924
5c7c58ee8e0b710016231ace,668ae3fb89b899b8acf1e11f,668ae7c50991d87c8cc0a3b3,0 0 0 0 1 0 0 0 0 0,560,0 0 0 1 1 2 0 0 0 0,48 74 28 54 11 44 79 68 91 63,37.5610,32.7890,2,4.0220 3.4730 1.2280 0.9590 1.0280 1.1120 0.5700 0.6040 0.6820 0.6490
664d0d6c17b3bbd3502b2441,668ae3fb89b899b8acf1e11f,668ae7f8b4438a45e1042ec0,0 0 0 0 2 0 0 0 0 0,556,0 0 0 2 2 1 1 1 0 2,51 44 85 100 4 68 19 55 73 57,26.4896,18.6288,0,2.6109 1.1849 1.1535 0.8573 5.5138 0.7767 1.0960 4.0517 0.8993 1.6937
