workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
63d8315e4de81b4e1add83d3,668d5f431261927d73e56e6f,668d61308ffcf046774323f0,0 0 1 0 0 0 0 0 0 0,619,0 1 2 0 1 2 2 2 2 2,36 76 79 2 29 81 92 86 71 67,22.9304,25.9093,0,6.1689 7.3833 7.6741 9.6119 1.5502 1.4243 1.1627 1.8213 1.3080 1.1241
64160e5abf0091eca2624398,668d5f431261927d73e56e6f,668d6155d0d23705b661ccca,0 0 1 0 0 0 0 0 0 0,607,0 1 2 2 2 2 0 1 1 2,39 43 68 99 85 20 42 84 45 82,64.3750,20.1624,0,2.9137 3.4516 4.3821 1.5139 4.2146 2.5861 3.7743 1.8019 1.1541 1.3140
5e90677fbedea103d637a83e,668d5f431261927d73e56e6f,668d6179328fa0631dee491f,0 0 0 0 2 0 0 0 0 0,517,2 1 0 2 1 2 1 2 1 2,60 3 0 55 100 66 97 78 6 52,36.3044,34.2925,1,10.4089 0.8480 0.9181 0.7590 3.8442 2.3062 1.0284 1.0360 1.0214 1.8151
615c864d74b01aaadedcdbdc,668d5f431261927d73e56e6f,668d61c0ed0a166bd4339a12,0 0 0 0 0 0 0 0 0 0,302,0 0 0 0 0 0 0 1 2 0,41 0 46 46 100 0 23 16 30 0,11.2130,45.0340,1,3.0230 2.9920 0.7960 2.1490 0.7970 0.8200 0.6690 1.3450 2.7290 1.9420
63d7de3f10d9abb5c1c1457e,668d5f431261927d73e56e6f,668d624eb337ae22c71a4d16,0 0 1 1 0 0 0 0 0 0,638,0 1 1 2 2 2 2 2 2 2,29 44 50 47 84 64 56 81 90 93,37.0893,16.0016,0,5.5753 4.2403 5.3766 2.6164 3.0158 2.0487 1.6956 3.4965 2.5366 1.2558
5f24d805c810b110d21dd700,668d5f431261927d73e56e6f,668d627c05498bfd5dd7379b,0 0 0 2 2 0 0 0 0 0,371,0 1 2 2 2 2 2 2 2 2,14 11 62 20 36 23 43 21 43 98,72.5984,25.2311,0,5.6958 6.6642 1.9280 0.7373 0.9039 0.9708 1.2722 2.6402 1.4644 2.4634
668d371bd614f22c3433ea48,668d5f431261927d73e56e6f,668d6358a7ae1b3ab966a010,0 0 1 0 0 0 0 0 0 0,498,0 1 2 1 0 2 2 1 1 1,36 93 37 3 56 18 67 65 45 78,84.0368,78.9041,2,9.9474 5.8328 1.4168 2.9206 7.4764 3.4600 1.1714 3.9929 1.6321 1.5229
667ac74b326f8ab38d0cb18d,668d5f431261927d73e56e6f,668d63ab67d088924df3d3c7,0 0 0 2 0 0 0 0 0 0,414,0 0 2 0 0 1 1 0 2 0,75 22 90 41 3 40 35 16 53 39,14.0237,60.9975,1,10.5804 6.1494 2.9229 3.8388 1.9284 2.3947 3.4808 0.8922 1.2123 6.5390
5cb4e2e8dde4050015779d17,668d5f431261927d73e56e6f,668d64236bda2f3edccbcb02,0 0 0 0 2 0 0 0 0 0,573,0 0 1 2 2 0 2 2 2 0,86 44 44 93 20 43 74 78 44 47,47.6526,28.8718,0,11.0861 5.8638 5.3438 1.6479 2.7521 3.3280 5.8560 3.9440 5.0719 3.1920
59ed0b3eac0af70001b36f5f,668d5f431261927d73e56e6f,668d64b9972802d15f9ded25,0 0 0 0 0 1 0 0 0 0,494,0 0 0 0 1 1 2 1 2 1,69 7 43 24 78 45 75 77 74 2,29.8770,26.3250,1,3.3440 0.9920 0.9960 0.6210 2.2450 1.0980 0.8310 0.5390 0.6900 0.5560
