workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
618937e0d2a8dadf81012c59,66844267d78f580fed9f44b1,0dhr0lyfdb5l,0 0 0 1 1 0 0 0 0 0,431,0 1 1 1 1 0 1 0 1 0,44 36 84 66 31 7 39 16 35 73,1.8993,6.3750,1,0.5613 0.2840 0.2932 0.7652 0.9301 0.5005 0.4404 0.3588 0.4492 0.3302
5ee8f03fecbcea0c76a1d9fc,66844267d78f580fed9f44b1,6684496f9b970fa5b8b88ef9,0 0 1 1 0 0 0 0 0 0,519,0 1 1 0 0 1 1 1 1 0,12 79 23 83 46 64 50 67 51 44,5.2420,21.1070,0,2.8590 2.0880 1.9410 3.4760 0.9450 0.9770 0.8900 0.7010 2.4120 0.4590
60718bc6262351c08b1238d8,66844267d78f580fed9f44b1,6684495a5688bde6637d6eae,0 0 0 0 0 0 0 1 0 0,480,0 0 0 0 0 1 1 1 0 1,16 37 95 38 98 54 82 26 30 4,3.4723,29.8957,1,7.8340 7.6399 2.5804 2.8689 3.1919 1.5196 1.0444 2.4845 1.9243 3.1406
654d0e6e5fd8155ac5581005,66844267d78f580fed9f44b1,668449218397bfa0afded84c,0 0 1 0 0 0 0 0 0 0,426,0 1 0 1 1 1 1 1 1 0,1 31 36 59 30 43 97 61 11 57,30.8459,23.2943,0,8.8595 5.3097 15.7875 8.4511 4.0385 2.7590 8.3767 2.5524 2.9224 17.3622
5e7890373d791e0009febd86,66844267d78f580fed9f44b1,66844a3a0766873adf60b15a,0 0 0 1 0 0 0 0 0 0,558,0 0 1 0 0 1 1 1 0 1,44 59 53 94 34 90 71 4 21 88,3.0535,29.8961,0,9.0531 3.1906 4.1104 5.8326 2.9403 3.5592 2.7241 2.4395 2.7746 3.1591
6682a96f4a98ca0f0bc97e64,66844267d78f580fed9f44b1,66844a4eaa0f411319bd98e8,0 0 0 0 0 0 0 0 0 0,437,1 1 1 1 1 1 0 0 0 0,74 24 71 38 60 37 0 99 20 14,6.0691,79.3444,1,6.5613 2.8847 1.4883 2.0838 1.8170 1.6262 2.3911 1.6109 2.4310 3.8575
5f2d5df22fa9352f3f2c4ca6,66844267d78f580fed9f44b1,66844b10ed0dde2a8f4e814d,0 0 0 1 0 0 0 0 0 0,436,0 0 1 1 0 0 0 0 0 0,71 9 41 25 73 50 59 30 48 30,9.0684,44.6656,1,9.6466 6.4670 2.4001 5.1341 2.7335 1.5178 1.2666 1.6169 2.5004 1.3830
6658b151cb2020d6b19f8802,66844267d78f580fed9f44b1,66844b6913c0a1910ba83e45,0 0 1 1 0 0 0 0 0 0,596,0 1 1 0 1 1 0 0 0 1,54 73 64 78 51 63 73 56 5 79,3.3920,67.2686,2,9.4597 4.2043 4.7485 1.0200 4.1616 1.1328 0.6882 0.5984 0.4839 0.6721
667d8b36a476083e2686b2c6,66844267d78f580fed9f44b1,66844c078235f2ba3b0d6608,0 0 1 1 0 0 0 0 0 0,448,0 1 1 0 0 1 0 1 0 1,49 98 60 36 43 35 28 5 33 61,17.1180,54.5567,1,9.5802 6.6822 4.0941 2.7512 1.1509 2.9610 2.0822 0.6848 0.5220 1.4199
665dc2d6a61b315970a3b030,66844267d78f580fed9f44b1,66844c4b1aa4fb958f023bea,0 0 0 0 0 0 1 0 0 0,340,0 1 0 0 0 1 1 1 0 1,24 4 15 38 20 92 8 67 51 21,75.6384,55.9378,0,6.3274 3.0274 1.9171 4.2920 3.9001 3.7633 2.3824 3.2120 5.1146 4.2512
