workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A3SXNRM8UV25U8,3RYC5T2D741OEVEJYF563R7MWWXPRY,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,1 0 0 0 0 1 0 0 0 0,421,1 0 0 0 1 1 0 0 0 0,78 20 15 25 26 53 48 29 86 41,38.9309,23.4381,0,4.3824 4.8825 3.1070 1.6741 1.9982 2.0351 1.3712 1.5462 1.5178 1.6898
AW3QNBWHGXVQK,null,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 0 0 1 0 0 0 0 0 0,629,1 1 0 0 0 1 1 0 1 0,62 50 67 24 10 79 96 78 99 64,55.1535,44.3918,1,3.5047 2.9121 0.9839 2.8239 1.2719 0.9999 0.9838 0.8000 1.5122 0.5358
A2TDK0LD62WZ8Y,31N2WW6R9SYK4G4N9M859ZQ2OCUF3H,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 0 1 0 0 0 0 1 1 0,405,0 0 1 1 1 0 1 1 1 1,41 26 50 40 38 11 8 51 54 86,92.8219,33.7223,1,6.6002 2.8471 4.3304 5.1356 3.1562 1.7269 1.5952 3.0039 1.1519 2.6254
A1L2B0TD5EO9VJ,3K772S5NP9J7SABQTWD1VB6CVGYHE9,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 0 0 1 0 1 0 0 0 1,476,0 0 1 0 1 1 1 1 1 1,49 2 94 19 65 46 15 82 58 46,6.4487,31.3528,0,3.9115 2.2349 0.6351 1.1748 1.9219 2.4272 3.1930 1.4859 1.1003 0.7075
A2ZDQ7YVKJUV8E,31QNSG6A5S1TQKVN3K5PCOLW6A487Z,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 0 0 1 1 1 0 0 0 0,528,0 0 1 0 1 1 0 0 0 0,40 76 94 27 57 64 63 33 26 48,27.2236,61.3150,2,4.2848 3.0691 3.6070 11.2039 0.4921 0.6456 0.6564 0.8555 0.6855 0.5570
A3QA0Y16Q4273V,3TEM0PF1Q65RP4RUZTVWJ1PA9NV0DX,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 0 0 1 0 0 0 1 1 0,562,0 0 1 1 1 1 1 1 1 1,41 2 79 59 89 50 46 59 52 85,117.3756,22.3144,0,6.5616 8.9081 1.6758 1.2340 1.0580 1.3460 3.0042 2.3480 3.8059 3.5020
A2S834OHCORO1W,31T4R4OBOTOV2NL0KWLUEAHFW1P7C4,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 0 0 0 0 1 0 0 1 0,444,0 0 1 1 0 0 0 0 1 1,33 34 21 10 95 25 51 82 89 4,7.5340,33.8714,1,23.7077 4.9516 0.8318 5.2798 3.3276 3.1439 5.3598 6.0718 3.2798 3.0078
AKWH1P9W1KL35,3WRFBPLXRBWWS8H47ARIH4ZBQ3H3ND,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 1 0 0 0 1 0 0 0 1,526,0 1 0 0 1 1 0 1 0 1,1 91 7 91 41 17 58 87 44 89,38.2202,100.4957,2,10.5252 10.6240 3.4799 2.5917 2.3039 3.4644 1.2560 1.8403 1.8240 1.5360
AGNJKSH5LFKXZ,38SKSKU7R25LUBW2G0IQ8IXB4QEILQ,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 0 0 0 0 0 1 0 0 0,443,0 0 0 0 0 0 1 0 1 1,23 27 66 93 4 91 8 6 94 31,180.0986,32.3347,0,9.5163 4.1418 3.4196 1.9939 1.5059 1.9873 6.1758 1.7221 3.0719 3.3661
A2N1DLRPX126KB,3EJPLAJKENOP6GI5T00AJUI4A8RZ6W,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,1 0 0 0 1 0 0 0 1 1,388,0 1 0 1 0 0 1 1 1 1,56 3 54 11 19 11 79 50 97 8,97.9259,25.0519,0,7.0261 4.8655 4.3238 7.1477 3.5199 1.9098 2.6558 3.0898 2.9358 1.6879
A2WX227WZ2TRZF,30ZX6P7VF93BO0U0OCLL5ND2B5D2JY,3ZURAPD288VL7TSEWGPKWMGJU7N1F0,0 1 0 0 0 1 0 0 1 1,284,0 1 0 0 0 0 0 0 0 0,31 9 8 11 75 40 26 35 1 48,23.6118,118.5009,1,10.8241 4.6334 1.1383 1.1624 5.3861 4.0600 3.4000 1.9785 3.1321 0.5716
