workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
5da78f61a60c0d0017d6ed89,668ac320c623b9b9500babbd,668ac6a200d1ff0bf9b58d65,0 0 0 0 0 0 0 0 0 0,430,0 0 1 0 1 1 0 1 1 1,82 62 2 28 62 61 44 12 57 20,38.0674,31.9904,1,13.0567 2.2130 2.2924 1.0819 1.5004 1.3673 1.0020 0.7863 1.5664 1.2653
668aaf09ffb91adbf2957fe9,668ac320c623b9b9500babbd,668ac6a8890cd5a2552f2858,0 0 0 0 0 0 0 0 0 0,503,0 1 1 1 0 1 0 0 1 1,42 71 65 39 41 75 17 11 88 54,51.1662,78.1280,2,7.1001 5.5396 5.0089 7.6005 0.9681 0.8604 0.9694 0.8230 0.8735 0.8529
6447cbf7356408059fe225d7,668ac320c623b9b9500babbd,668ac7f19319a52fe1b99dc6,0 0 0 0 0 0 0 0 0 0,423,0 1 1 0 0 1 1 1 1 0,15 21 43 66 21 54 56 76 39 32,19.1763,41.6549,1,4.5050 1.9360 0.5401 2.8870 0.6209 3.0689 1.7050 0.8310 0.3839 1.1014
66796ecee964ef59531e3cf3,668ac320c623b9b9500babbd,668ac7e11622bf0930ff1d08,0 0 0 0 0 0 0 0 0 0,609,0 1 1 0 0 1 1 1 1 1,4 77 66 71 50 75 21 77 78 90,62.0403,26.4672,0,6.4601 6.4265 3.8787 2.7831 3.0498 1.5594 1.2991 4.2119 2.3428 2.0188
5ade302d0cdede000169f682,668ac320c623b9b9500babbd,668ac7fa1f0d1fbdffe558b7,0 0 0 0 0 0 0 0 0 0,482,0 1 1 1 1 0 1 1 1 1,44 96 61 4 61 28 84 12 38 54,26.8972,34.8444,0,9.9493 2.1872 1.3496 1.4977 2.0827 0.9190 2.1266 1.3406 0.9501 1.6810
668304d67b14604f5b31fdc2,668ac320c623b9b9500babbd,668ac7bf440ee7f82a05c16e,0 0 0 0 0 0 0 0 0 0,410,0 0 0 1 1 0 0 1 1 0,55 68 18 5 75 35 66 74 1 13,76.0993,39.5804,0,5.3050 8.3994 3.7637 1.7918 1.4614 1.1307 1.1298 1.1623 1.2552 1.1624
615cca0faa6b030f29e13aa1,668ac320c623b9b9500babbd,668ac69cbe5eedd5c5460725,0 0 0 0 0 0 0 0 0 0,622,0 0 1 0 1 1 1 1 1 1,96 40 47 6 75 50 83 98 94 33,390.2637,27.6772,0,5.6150 7.9603 3.6425 2.6900 3.3848 5.6692 7.4645 3.2357 2.3042 1.7075
66520da15457a5e65d2ec66f,668ac320c623b9b9500babbd,668ac854f3b7d6a86cddc8cd,0 0 0 0 0 0 0 0 0 0,532,1 0 1 1 1 0 1 1 1 1,66 37 49 89 67 45 60 8 91 20,28.0186,44.5663,0,6.0006 13.5117 2.6881 5.5097 2.0240 4.2737 1.8604 1.3101 1.5728 2.7437
664d0d6c17b3bbd3502b2441,668ac320c623b9b9500babbd,668ac876e7690b3b64d498b2,0 0 0 0 0 0 0 0 0 0,585,0 0 0 0 1 1 0 1 1 0,50 43 65 51 77 67 19 70 48 95,56.3910,46.0537,2,8.2644 8.9686 4.4922 1.8997 1.0261 4.5517 1.2621 1.1278 1.1953 0.8912
667ac4588cd6cbe996dec5ea,668ac320c623b9b9500babbd,668ac797dd2605a617d8010e,0 0 0 0 0 0 0 0 0 0,518,0 0 1 1 0 1 1 0 1 1,29 45 34 69 44 89 91 2 74 41,86.4547,204.4866,2,42.5590 12.5710 4.0639 6.0795 2.7593 2.9340 8.8606 4.7306 3.3511 6.6643
