workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A1EUNZ1PHBHMU0,31QTRG6Q2ULXBWQ5CAX0BN0ITDQYP3,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,523,1 1 0 1 1 0 0 0 1 1,73 86 69 27 60 23 46 0 56 83,46.0850,91.6556,1,12.2608 4.3758 1.7360 4.9437 3.4639 1.0719 2.4480 0.9519 2.7360 0.9277
A235RE08090NDB,3K772S5NP9J7SABQTWD1VB6BPABEHZ,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,493,0 1 1 1 1 1 0 1 1 1,13 2 39 95 19 85 40 79 40 81,77.0597,76.9359,0,14.1072 8.4301 1.7832 2.9260 1.2241 2.1169 0.6152 0.9955 0.7753 1.6333
A2RKUDGK5PQ44X,3NC5L260MPU9Q5X9SKSXX2OCDX5FO7,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,542,0 0 1 1 0 1 0 0 1 1,47 32 61 88 67 67 2 28 65 85,86.7376,63.1015,0,9.6299 3.3439 1.4833 3.2693 1.8602 1.3568 1.5668 1.5512 1.2756 1.6011
A14M4TA8GBR6LM,3PW9OPU9PRS4TJEWYNFF1NHFBIQ12M,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,470,0 0 1 1 0 1 0 1 1 0,72 16 52 9 17 25 95 96 77 11,26.1281,30.2981,0,5.4401 5.5767 2.1921 1.6718 4.3985 2.6881 3.5932 1.4799 0.9129 1.1196
A2V8B6ISKK4N9P,3FE7TXL1LJVSANYDJ25U2OPNJUHQ25,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,390,0 0 0 0 0 0 0 0 0 0,18 49 15 24 58 39 100 50 36 1,515.4142,88.9608,0,6.8998 2.7516 0.9758 0.6076 0.9117 0.7121 0.6720 0.5920 0.5039 0.3521
A1JNNP9R3IF17Z,3GNCZX450JVWFES2W4JK81IBQMOAP6,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,480,0 0 0 0 0 1 0 1 0 1,73 1 91 3 46 27 44 64 96 35,156.0820,31.5320,0,11.3850 6.6950 3.4540 6.7440 1.8160 1.1040 1.6960 1.1360 1.8730 0.9370
A1G5PO0BLQPBJ7,3OUYGIZWR860E1UK42MRJV6YH0C0P5,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,365,1 0 0 0 0 0 0 0 0 0,32 72 33 36 29 13 5 93 33 19,99.6879,58.2400,0,5.6419 9.7015 4.0922 8.9238 2.8088 1.2409 14.7795 11.0690 0.6860 0.7809
AUHKT6LPP7A8R,3MTMREQS4WQMZNP38QXF0VQ7JJRAW1,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,526,0 1 0 0 1 1 0 1 1 1,40 39 42 50 59 90 10 34 68 94,121.3565,55.9435,1,14.6791 1.4316 4.6458 1.5640 1.6257 1.3917 1.0434 0.7076 0.6859 2.9101
A2D6QNCAN9X77R,3S3AMIZX3VDBJWMAB9OGE2RAC66DCX,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,398,1 0 1 0 1 1 1 1 1 1,6 36 50 10 15 32 100 76 56 17,43.6101,29.8614,0,8.9591 3.0082 4.2486 3.4318 1.4641 0.7598 0.7117 0.9039 0.6636 0.6474
A3DY78Q4FCWTXX,3QRYMNZ7FZP1RPFYMPX9ZH38EW8TNE,3D3B8GE892ZFNBK3EW0INMC6TNBP98,0 0 0 0 0 0 0 0 0 0,484,0 1 1 1 1 1 1 1 0 0,9 23 78 86 77 57 39 5 85 25,56.9862,18.3482,0,6.5718 5.3639 2.8450 6.6589 1.7210 6.5930 5.3149 6.1847 1.5099 2.1290
