workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A27LB1XYMOJ216,34HJIJKLP64UI99H9FIS1QLU2UMV42,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,401,1 0 1 0 1 0 1 1 0 0,54 75 50 18 85 35 63 9 8 4,28.0370,51.6150,2,9.4620 2.1640 1.2220 1.2550 1.3670 1.5100 1.4730 1.0360 1.2060 1.0940
A2XKP0ZXMZ34MS,33LKR6A5KFSYDI89H2ZB2AQ6TPWT17,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,503,1 0 0 1 0 0 0 0 0 1,98 32 50 43 14 60 54 47 30 75,71.4669,103.2113,2,14.2184 4.5192 4.8798 1.1298 1.9897 0.7802 1.1598 1.1411 6.2346 1.0799
A1EA65VORB7TPU,3NC5L260MPU9Q5X9SKSXX2ODVRYFO8,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,228,0 0 0 0 0 0 0 0 0 0,23 26 26 12 19 6 41 47 2 26,82.5878,74.0750,0,19.2226 9.1215 8.6718 2.9659 6.4378 2.6279 2.3279 1.3535 7.5898 1.8959
A2AO52H6JDHA83,38F71OA9GU4LQ2CXF4DK5YZ80RJFMT,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,511,0 0 0 0 0 0 0 0 0 0,27 65 43 34 86 16 45 32 85 78,153.8282,64.0811,1,12.5586 2.4776 3.5639 1.9708 3.6969 1.7523 1.7161 1.7855 2.4974 2.1097
A1BI34TAR8H9R0,3KYQYYSHYWFCSLJD1EX792LSJEJDOW,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,366,0 0 0 0 0 0 0 0 0 0,15 12 63 67 5 37 77 34 43 13,53.7747,51.9610,1,1.7407 6.5511 5.4872 3.2494 0.7589 1.1357 3.4551 1.4475 1.4382 0.5199
A3PYZV7CGJRYFO,3WJ1OXY92BOB9MTLANH9MFNMJ6IA8O,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,641,0 0 1 1 1 1 1 1 0 1,21 12 83 98 71 88 91 74 36 67,36.3021,54.7198,1,8.5290 3.9038 1.7199 1.5359 1.2200 1.1361 0.8966 0.9601 1.0237 0.8801
A2LDFXHW9JEV0J,39N5ACM9HFVIAVIX4Y5KC67S2Y0P98,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,600,1 1 1 1 1 1 1 1 0 1,82 5 86 50 47 31 76 91 43 89,2.7905,53.3515,1,10.4712 6.0160 5.7518 1.8079 0.8640 1.4635 1.2479 0.9353 1.5678 1.2317
A38RHRTIP0PYNU,3OS4RQUCRANP7B80OFNBRIOEOSGFB5,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,299,0 1 0 0 0 0 0 0 0 0,3 2 48 34 42 34 50 9 18 59,84.8881,33.5102,0,3.6001 3.3480 1.4419 5.5157 3.1178 2.3397 1.4496 1.5058 1.1941 1.7459
A2D98V3ZYWDMJO,3Z4AIRP3C7L5UZHTMC08RDBC6LLX1V,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,369,0 0 0 0 0 0 0 1 0 1,12 83 20 21 30 30 30 58 34 51,60.3888,42.7001,2,8.3594 2.4478 2.4635 1.6381 0.9679 3.3639 2.0857 1.2142 0.8198 1.5040
A8ZUM922CBH6S,3PQ8K71NHYSPSAM07L1NI6TH9UJAAT,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,536,1 1 1 1 1 1 1 1 1 1,16 71 50 65 13 81 80 73 28 59,60.2390,34.1720,0,7.6580 2.5150 6.4120 0.9600 0.6650 0.6100 0.7640 0.8600 0.9140 0.5770
A1S0S8EIJCSEKH,3483FV8BEFRZ05FT4TRWWJ8X1N426R,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,497,0 0 0 0 0 0 0 0 0 0,39 78 19 46 50 49 71 95 3 47,48.3025,60.2701,0,9.7810 8.2424 8.0742 7.7859 7.8585 3.5341 1.4167 3.1234 2.0347 6.5288
AYL7HEROL7QHJ,3YDGXNSEO02W7XD41M7I9C1MRWR48C,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,399,0 0 0 0 0 1 0 0 0 0,23 49 47 10 50 37 41 9 42 91,81.3930,71.7090,1,8.7810 6.8530 6.9770 9.2770 4.6300 3.8530 2.1000 2.7020 1.8390 4.4660
A28K6JLPLZ8IU1,3DY4FPOOA2W1JFBFKRE59JW4U8DVRS,3SCKNODZ0XOB67KXJKP651G51FFN7O,0 0 0 0 0 0 0 0 0 0,612,1 0 1 1 0 0 1 1 0 0,65 28 5 77 21 94 91 93 44 94,44.2970,41.1060,0,13.0250 10.4580 1.3810 1.5290 1.1470 1.2520 1.1910 1.0210 1.1950 1.0220
