workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A3L1K40H3TRTX2,3WLEIWSYHPPFXUZA0CI0TAXN0O22HA,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,540,1 0 0 1 1 0 0 1 1 1,72 80 42 73 49 37 7 50 71 59,12.0978,76.1025,1,15.0123 5.5356 7.9356 4.9118 2.8315 2.0159 2.3127 2.2559 3.6959 2.0317
A36Q6B9394Q4Q1,351SEKWQS1POSIY1OYIUHYWNE1PMDB,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,403,0 1 0 0 1 0 1 1 0 0,19 6 43 10 37 40 82 23 51 92,117.3980,86.8060,2,13.9350 7.9150 4.5950 1.5950 1.0410 2.4920 1.1090 2.6010 0.7590 2.6020
A1DP2L19BNZJ2Y,3PEIJLRY6U1YV0XWJ0PTK316SLFXWF,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,462,1 0 1 0 0 0 0 0 1 1,64 27 53 92 91 30 2 31 38 34,54.5994,27.9465,0,7.1984 2.6886 0.9114 3.5893 0.9227 1.2488 1.1249 0.7876 0.6186 1.2488
A1IOE74BFEAQ3U,3WETL7AQWUGS2JBY3AVWNNZP1TB355,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,470,1 0 1 1 1 0 0 0 0 1,16 15 21 32 16 76 90 74 40 90,98.6266,53.9464,0,13.5022 5.3657 3.3109 2.0482 7.0789 5.9429 1.4170 1.4803 0.7435 0.8716
A19OCD2Q0K2U6M,3EQHHY4HQT0TWVNMYP2G6HOY5YG5GF,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,407,1 1 1 0 0 0 0 0 1 1,39 44 12 51 57 9 54 11 66 64,80.6094,43.7863,0,13.5540 6.6487 12.2289 2.3509 4.1285 4.6913 4.7587 2.4173 1.0012 2.9699
A3SLDTBPEJF1RJ,39GXDJN2OUMV1AWJLI85I21ZU358V9,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,446,0 0 0 0 1 0 1 1 1 1,11 64 43 5 92 1 28 89 70 43,57.7177,85.5605,2,5.9440 3.6338 2.3142 1.0618 2.3442 1.4220 1.2450 1.5378 1.0139 1.0542
A1WF19BIZNJDZR,3WEV0KO0ON0RQDB68VEGT7VT6Q8DSF,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,607,0 0 1 1 1 1 0 1 0 0,46 1 72 89 34 96 47 51 99 72,51.0661,85.2392,0,14.9806 8.8294 10.3433 14.4043 3.6080 1.5166 1.4338 1.3008 1.2706 1.4688
AB2JXV5YUJ1Y7,36ZN444YTS6T0WZZTSYI0Z1516COIU,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,477,0 0 0 0 0 1 1 1 1 1,50 33 60 34 51 54 50 27 71 47,44.6026,21.1998,2,1.9339 2.8482 1.4638 1.9999 56.3757 2.9119 0.7838 1.2396 0.8158 0.3362
A15CGRCPAKTQGJ,3TS1AR6UQRM25Z5ABYBVMG2IVPBF75,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,436,0 0 0 0 0 0 0 0 0 0,35 65 40 13 23 67 72 14 93 14,31.1733,107.6375,2,13.2107 1.9902 2.4104 3.5717 1.7988 1.9214 1.6951 3.2594 1.7961 1.6884
A2RLOB9VH2XSRT,36NEMU28XGLN1OYS5TNK9ML8LHWWMV,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,370,0 0 0 0 0 0 0 0 0 0,55 82 41 2 50 54 55 7 22 2,27.3094,34.9113,1,7.2651 2.1267 4.4644 2.1368 1.7926 1.4872 1.3823 3.2633 1.6967 1.7929
A3LF9BRGSGL6W3,3FQ5JJ512MW2O6PBSGJHYQGD30YNKR,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,624,0 0 1 1 0 0 1 1 0 0,97 96 49 74 84 48 73 5 50 48,142.0826,27.9711,0,4.4358 14.7048 2.1601 5.4009 0.8001 2.4721 0.7354 2.8164 0.8416 3.4396
A3B0AB2C9SIHN,3VHHR074H4PO5RF6X9ETHT72SLY7L3,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,388,0 0 0 0 0 0 0 0 0 0,15 88 6 35 8 76 78 40 36 6,90.5164,87.1298,2,23.5938 8.8639 3.5363 2.0875 3.2157 1.8876 1.8803 1.7434 0.8878 1.5353
AM0AQKWYSLK7X,3A9AA95ATXUZ98GL18S30Q2Q6P55PL,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,466,0 0 0 0 0 0 0 0 0 0,34 73 53 74 42 91 24 18 13 44,6.6640,176.5660,2,29.9730 2.9690 3.3160 1.2130 8.3860 1.4740 1.3670 1.0930 0.9820 1.1140
A714FAI9LIUO6,3GS6S824SR5TJ6JSHU2KM1A8Q77WNW,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,473,0 0 0 0 0 0 0 0 0 0,55 83 15 76 32 77 24 57 22 32,118.9856,199.9740,0,9.0434 4.5630 4.4463 2.2044 2.2042 2.0303 1.6386 1.2348 1.4568 1.3150
AQ5H9HKYEGCXA,3K4J6M3CXF1Q21Z3TLTXES4KXCJGAY,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,452,0 0 0 0 0 0 0 1 1 1,86 22 51 80 21 30 45 33 51 33,130.4950,62.9910,2,7.0640 3.5760 1.2640 2.4640 1.0160 0.5750 1.9960 1.3770 2.4080 0.7910
AX3RDV6XXR1XB,32XVDSJFP051P80LR9YDLF5JHA4M26,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,501,0 0 0 0 0 1 1 0 0 1,82 83 93 35 10 47 28 81 2 40,18.8933,55.1049,1,6.7154 3.9274 2.9598 2.6158 2.2563 1.2639 2.1362 1.7283 0.9761 0.8396
AY52II1OC5RZ1,3KKG4CDWKJ6WL2WE6EDW98WX1PU49M,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,597,0 0 0 0 0 0 1 1 1 1,45 56 97 75 57 17 43 58 64 85,66.7190,44.8782,1,7.7087 10.6657 3.8488 3.8176 1.0241 1.8171 1.0722 0.9681 0.7842 0.8169
ABMMFGRR6VFC,3PXX5PX6LY6UBKRSDZ1JDHDNHZTBAE,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,536,0 0 0 0 1 1 1 1 1 0,38 24 94 6 90 61 2 87 60 74,62.5590,37.7700,0,7.0290 11.9710 11.9860 8.1290 8.6800 7.3360 7.6850 9.1410 14.2000 8.2030
AC53GS6RNZLVE,351SEKWQS1POSIY1OYIUHYWNE1UMDG,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,439,0 1 1 1 0 1 1 1 1 1,12 78 60 8 28 44 52 93 37 27,25.3734,30.7249,0,5.0382 3.1050 1.8564 2.5429 5.7038 2.4637 1.0460 1.8789 2.1712 2.0024
A35C4LIZF4CS33,3GA6AFUKOPW4ICVT4CW5CK2F6273HR,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,473,1 0 1 0 0 1 1 0 1 1,12 73 43 42 3 54 41 93 60 52,16.5324,35.4221,1,7.7403 4.6559 4.5005 2.8773 1.0719 0.5281 0.6238 2.9317 2.5594 0.6236
AG6JSZQZOT8ZD,3E47SOBEYR4SR72W3NPR5Z7OCS1ICZ,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,492,0 0 1 1 0 1 1 0 0 1,5 70 89 16 30 67 22 87 9 97,59.8635,33.9919,0,3.8440 6.1323 5.3064 3.1692 1.7210 0.8260 1.3214 0.7464 5.7937 0.7895
A2C6KUVF0FAIY8,3TOK3KHVJUQWBCI3A1UL9ABWNQ9O77,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,438,1 0 0 0 0 0 1 1 1 0,14 41 70 26 29 12 83 90 14 59,101.5542,39.6159,0,8.3327 4.2394 7.6078 6.0397 5.1517 6.5279 2.1918 4.0800 4.5357 2.4079
A10CXZO14SVPMW,3BDCF01OGY27KBB7KI4TU6RZWKDLYO,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,403,0 1 0 0 0 1 1 0 0 0,34 12 91 85 93 44 9 5 30 0,117.7498,51.4884,0,24.2358 19.2719 10.9988 9.4497 5.9721 2.8786 5.7798 8.3115 5.2817 4.4238
A79ON3CGDXXQG,3DPNQGW4LMN93JUG87AKPY5VBOR64I,386659BNTLPUAPDOTY6ZTFTFPIA01Y,0 0 0 0 0 0 0 0 0 0,498,1 0 0 1 0 1 0 0 1 1,54 56 29 54 44 81 79 23 74 4,119.1016,105.3203,2,6.0491 3.9361 4.0807 3.6722 1.3839 3.2242 1.4719 8.9207 1.8159 1.1119
