workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A1M8BYIP0KZJZX,37TRT2X24RZ5CDUW75EW6GG6FQSBJF,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,665,0 0 1 0 1 0 0 1 1 0,100 61 17 83 73 52 90 98 28 63,24.4944,51.4138,0,4.7914 4.0628 4.0992 0.9434 12.7859 0.6757 4.9116 3.6881 2.7794 0.5922
A3AAGSDIWQ6OZV,3KGTPGBS6YTK2G5U0BPZCPMD20DU2S,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,599,0 0 0 1 0 0 1 1 1 0,60 28 34 71 70 25 70 80 62 99,102.3470,60.1516,0,15.5240 6.3435 10.9278 8.2799 9.6157 4.9598 1.0800 0.6001 0.9439 1.7759
A3L7VXSFUFELW,33UKMF931ASZM2KIJLJL8G91JZMTTV,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,564,0 1 1 1 0 1 1 1 1 1,60 63 75 97 3 50 97 55 19 45,71.5180,111.8180,1,7.7910 8.3200 7.9310 4.8870 14.1460 4.2870 9.5590 4.6860 3.5120 6.4050
A3T72ITKOYCHUU,3V5Q80FXIYZ03MSBLRTYPGWDPN6235,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,523,0 0 1 1 0 1 1 1 1 1,26 28 56 40 28 85 65 51 65 79,5.2430,53.8273,2,4.5210 4.0300 2.6340 2.5320 1.0539 2.0839 2.3297 1.9781 1.8201 1.4938
A2M6LJMH3YHS5U,37XITHEISXH5K65FTAJ0JR8F7SZCRS,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,493,0 0 0 0 0 0 0 0 0 0,99 39 43 11 85 8 23 85 96 4,7.3864,47.9807,1,11.7538 4.7836 6.6675 2.4107 1.3536 1.4874 1.2813 1.3348 1.2451 1.1150
A2HD7J34E0J7C1,38F5OAUN5OKMJVWG6OZVP1EVJ8DH7A,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,624,0 1 0 0 0 0 1 1 0 0,80 66 58 94 93 9 74 29 32 89,13.0129,44.9064,1,8.0527 4.2155 5.3414 4.0156 3.2069 3.4318 1.3745 1.5687 2.1512 2.7934
A1U3FLIKOVUQAQ,39O5D9O87U0D14KDIKI41T5Z1FO3CM,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,449,0 0 1 0 0 1 0 0 0 1,90 39 63 75 28 23 92 3 7 29,36.6670,37.1651,0,7.7467 2.7463 11.6245 1.2367 11.8615 2.2104 4.6489 1.8017 3.1360 0.8633
A2KVNFOIRZ8PTB,3CPLWGV3MP7I7A6KOJSS8H2X0BEN97,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,695,0 0 0 0 0 0 0 0 0 1,75 100 4 96 94 41 67 81 59 78,57.9538,30.2595,1,9.0876 6.2135 3.4921 1.8161 2.8779 3.4682 7.8334 2.8217 6.0242 8.9093
A3T9WZOUQGE2UW,3NG53N1RLWRIWQZNZ6Z6CACHGK08P2,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,309,0 1 0 0 1 0 0 0 0 1,19 0 46 13 2 29 73 30 78 19,30.5041,22.2083,0,2.7268 0.8718 0.5359 0.5840 0.4479 0.5040 0.4797 0.4079 15.8072 0.3920
A3DZEICLZNLJVK,3VSOLARPKCHB36DA608DZ34RVUX39H,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,537,1 1 1 1 1 1 1 1 1 1,0 72 79 63 44 43 62 84 62 28,77.8559,32.6438,1,4.9220 0.9552 0.8682 1.0048 1.1219 1.0437 1.0725 1.0537 1.2185 0.8979
A1VSIU3RECGBSP,354P56DE9LBB94AWHIBUTFLXSK8S7M,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,298,0 1 1 1 0 1 1 1 0 1,3 94 14 10 20 12 57 10 23 55,21.0047,33.2477,1,3.0455 3.1680 0.9278 1.4959 0.7119 0.6479 0.5999 0.6398 0.7761 1.2159
A1AVXGO6VIGH7D,30IQTZXKALE5NAWBQTW8D8S2ZL50X3,30U1YOGZGA4O3TDCIT9E4N07AJ3SDZ,0 0 0 0 0 0 0 0 0 0,487,1 0 0 1 1 0 1 1 1 0,17 88 48 56 13 2 34 61 81 87,21.4078,35.8028,1,5.1443 2.2857 1.1064 0.8272 0.5360 0.5023 0.5740 0.8318 0.4286 0.5743
