workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
AX1TWZNM2XLYO,3OHYZ19UGDDEUEG1H465J1DMWVAAOH,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,571,1 0 1 1 1 1 1 1 1 1,77 13 88 88 11 51 81 50 65 47,8.9061,70.1514,2,6.1714 2.7116 0.7677 0.8238 0.5438 1.1680 0.4316 0.7677 1.1758 0.6480
AMCJQTBCGX9R5,3OUYGIZWR860E1UK42MRJV6ZXEU0PX,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,530,0 1 1 0 0 0 0 0 1 1,86 25 76 36 45 96 40 35 76 15,42.2257,41.1300,0,4.5615 2.4264 1.9167 0.4698 0.4755 0.4828 0.4630 0.3864 0.5112 0.3565
A3FCYUTV0X0Z6U,3DUZQ9U6SNWDKUBSZGEAZT10EUEVS0,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,449,0 0 0 0 0 0 0 0 0 0,4 30 45 21 21 92 76 22 97 41,4.0050,16.0415,0,4.7141 1.1595 3.5359 1.8718 3.3278 2.0164 2.6879 1.1675 1.3757 0.7676
AFUUPNBIKHRFZ,3MMN5BL1W0CQAQW4V9CI4PABVL33MZ,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,498,1 0 1 1 0 1 1 0 0 1,62 43 89 62 25 14 9 82 34 78,38.7357,218.3521,1,12.1535 2.6000 6.2480 3.7760 2.9279 0.8234 1.4637 0.9278 1.6312 0.9676
AA3OOA62I1EEB,3JPSL1DZ5T7WCTGPGP6S4CDH6L5AN2,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,548,1 0 1 1 0 1 1 1 1 1,100 37 98 41 12 18 61 97 84 0,25.8152,370.3909,2,4.7291 13.9677 4.1438 3.2878 2.5917 1.7679 2.7833 1.2160 1.0000 1.3117
A3DHYTZ1GPN0T8,3AUQQEL7U61DJLRGQEVQPNVHJ2V0VI,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,523,1 0 1 1 0 1 0 0 1 1,68 33 54 11 78 38 70 85 23 63,88.9977,220.3242,1,69.1884 14.9186 3.3999 5.8236 2.1435 4.1276 2.0159 1.4475 0.8162 1.2137
A3DKFBFK3FA3MA,358UUM7WR0BZ8PAJ2TBP35G16AOR7G,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,554,0 1 0 1 0 1 0 1 0 1,70 71 59 85 41 13 18 10 95 92,3.3075,7.7919,0,7.7009 12.8533 4.5193 0.8558 2.0877 1.0475 0.7520 0.9522 0.7280 0.9277
A161R7U61GXNFC,3PDJHANYK6O3FVIBNEU3JNEZOQ66HZ,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,472,1 0 1 1 1 1 1 0 1 1,80 28 55 91 1 53 78 5 20 61,44.0520,14.3125,0,15.6663 2.6156 0.7515 0.7196 0.5993 1.6880 2.1355 0.6558 1.3444 0.4959
A1WG6Z8BYDMC4F,3KJYX6QCMAJKLRS2CM5W7SADIB1VJK,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,261,0 1 0 1 0 1 0 1 0 1,41 43 50 8 20 44 3 7 38 7,2.8785,5.5768,0,1.4151 0.7779 0.7043 0.5757 1.0464 0.6232 0.5190 4.4255 3.0324 0.9682
A1QR3D42GHZ3PT,3PQ8K71NHYSPSAM07L1NI6TH7E7AAJ,3BVS8WK9Q036UICWZLOU5V6KYZ8BI0,0 0 0 0 0 0 0 0 0 0,597,0 1 0 1 0 1 0 1 0 1,86 100 24 82 34 53 39 60 60 59,4.0591,8.0237,0,1.9893 0.6222 0.7118 0.7118 0.5578 0.5251 0.5711 0.5276 0.5556 0.8534
