workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
AVV45BXBPOCS0,34J10VATJG6WL8CF85QMP4W5VQKIQ3,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,627,1 1 1 1 0 1 1 1 1 0,99 68 80 13 35 72 91 79 0 90,10.0500,44.4240,1,6.6300 2.5600 4.5700 1.6620 1.5670 1.1670 2.4670 0.9100 0.8640 0.9010
A1L1S0IAPZB4MO,34S9DKFK74XX8BESWVK87YVOGYVYN2,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,384,0 1 0 0 0 0 0 0 1 0,34 56 17 17 40 44 62 7 71 36,8.2450,14.4770,0,3.3600 0.8860 0.8500 0.8950 0.9240 1.3060 1.4220 0.6900 0.8090 1.0050
A9V0V2HY30WNG,3I0BTBYZAYTUNFMLVPIAWMZB85KY0R,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,609,1 1 1 1 1 1 0 0 1 1,50 66 98 54 22 88 18 36 92 85,68.5425,43.8923,0,5.0797 2.8579 1.5102 2.7560 3.2839 1.0343 1.1920 2.6702 0.8481 1.4019
A3TRNNPY5KJEUR,3D4CH1LGEB1CXIPY1FFXIXT06DOG9N,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,470,1 1 0 0 0 0 1 0 1 0,52 29 33 48 71 7 79 50 60 41,6.9535,84.8664,1,13.4086 4.3838 1.0321 1.8817 1.7248 5.9357 1.2626 1.4822 1.3666 1.5124
A2H073M13XYKRK,339ANSOTR6AAA5EKV06PTIKWWKSIKB,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,370,0 0 0 0 1 0 0 0 1 0,38 35 41 47 70 9 4 46 64 16,3.6000,46.4470,2,6.9330 2.0700 1.4230 1.3760 0.8150 1.7670 1.9440 0.9040 0.8720 0.9910
A2G4OLIRZSMTLQ,3K9FOBBF2IRD8C7TDGVIDQTS7JRNLZ,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,504,1 0 1 0 0 1 1 1 1 1,94 46 30 23 0 62 45 47 61 96,9.7553,105.8249,1,12.3553 2.3828 0.7438 0.6006 0.4956 0.4397 0.4963 0.4711 0.5516 0.9694
AFKYO1HML5XAP,3DL65MZB8ENGB20A74Z0KK9WZJDECO,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,493,0 1 0 1 1 0 1 0 1 0,83 96 30 9 34 7 66 15 54 99,5.4134,24.6870,1,2.8826 0.7556 0.4511 0.6541 0.4996 0.4761 0.3897 1.2160 1.3718 0.9280
AOEO9ZV81R0I4,3018Q3ZVOJYHRR8H9WN9DWIRE4HRA9,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,621,1 1 1 0 1 1 0 1 1 0,72 30 80 41 84 91 57 84 82 0,23.5960,39.4110,0,4.3610 2.8160 3.1370 1.4480 1.3890 1.4800 5.6980 1.3280 2.5930 1.5260
A3VMNOYU4TNDNS,3IX2EGZR7CRSSKBL320M6VLA4SCJRK,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,497,1 0 1 1 1 1 1 0 0 0,51 14 70 49 80 48 17 77 43 48,28.0668,57.6698,2,3.4108 2.0761 0.5278 0.5121 0.3981 0.4720 0.4542 3.9923 0.3982 0.3978
A24JKHC4HTY6CD,37ZHEEHM6XU7PNPHR3ATL7DL7JW37T,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,480,0 1 0 1 1 1 1 1 1 0,0 100 35 97 29 64 11 58 13 73,3.5430,24.7130,2,7.1830 1.0730 1.0480 0.7690 1.1760 1.0050 1.1760 0.8330 0.8300 0.8660
A10ZJQC7W1QHIO,3TESA3PJ32IRWC4E1RHX0OJH2Z8MM3,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,392,0 0 0 0 0 0 0 0 0 0,49 48 3 38 38 29 14 47 29 97,9.5765,32.8359,2,8.1128 3.0936 2.6698 2.4249 1.0220 1.1611 1.1414 1.5447 1.1333 1.2376
ANE3AKMZ010GH,3DZQRBDBSMNT8L99F684GY9HUX93SG,3E9ZFLPWOY0D7LFX4HGCUSXCIXQIX1,1 1 1 1 1 1 1 1 1 1,466,1 1 0 1 0 1 1 1 1 1,52 70 22 3 7 83 77 76 21 55,70.6517,34.4687,0,9.6674 4.3402 1.8870 2.2404 1.5188 1.4230 1.8673 1.8403 1.5928 1.6550
