workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A2WOZPIFGD3RDK,3WETL7AQWUGS2JBY3AVWNNZPGKZ53S,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,609,1 1 1 1 1 1 1 0 1 0,92 94 83 92 41 52 40 78 8 29,31.6240,32.9697,1,5.9103 1.0976 0.8102 1.0419 0.7717 0.8960 2.3001 0.9679 2.0820 0.8502
A1CUKJQ7C28RS9,3NAPMVF0ZXNI45TYN3WO2X8T1CU72Y,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,450,1 1 0 1 0 1 0 1 0 1,78 51 58 8 98 61 17 23 3 53,51.2971,74.5766,1,2.9492 3.7954 0.8665 3.2498 1.0858 2.7971 0.9763 2.2816 2.6307 1.1765
A2RINH8P33GL6H,3OXV7EAXLFYOLNBC8T51FTDPCFA639,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,413,1 1 0 1 1 1 1 1 0 0,9 48 2 98 50 56 46 47 44 13,22.5788,59.0171,1,16.6648 3.3056 1.7434 1.6510 1.4286 1.8963 1.4006 1.8410 1.4189 1.7437
A3D8ZG1VV5FO35,3L0KT67Y8FOUOO6X4R1U6S5U351SYM,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,629,1 1 1 1 1 1 1 1 1 1,10 95 48 2 97 97 75 74 50 81,108.0495,73.6805,0,4.0492 6.7595 2.6398 2.2716 2.9759 1.2240 1.6319 2.2878 1.4478 2.0557
A3GYBE40AJ65OE,3U088ZLJVL1QYARLGO0MBPEVX5JW05,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,631,1 1 1 1 0 1 0 0 0 0,84 34 81 18 19 15 96 100 88 96,31.1260,22.7060,0,9.4580 4.8800 3.8870 17.6640 2.7680 1.3440 1.3040 1.5270 2.9110 1.4080
A26MN6JIKD4NXU,3OJSZ2ATDT4A32CL5MYM04B5LML57X,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,593,1 0 1 0 1 1 0 1 1 0,50 98 36 36 50 6 65 75 80 97,26.2961,280.5647,0,2.8596 0.8562 0.7282 0.7113 0.6164 1.1195 1.0239 2.6086 1.5670 0.9275
A5E2P5F1AXYZ1,3KYQYYSHYWFCSLJD1EX792LSOSUDO4,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,690,1 1 1 1 1 0 1 1 1 1,86 35 53 96 48 56 81 52 83 100,25.5260,40.7290,0,6.4320 7.8070 5.6300 2.3920 0.8080 1.8660 0.6500 1.1810 1.3950 2.3790
A1FQLDWJD2E21Q,3WS1NTTKEZKONO5QQZQM71SV22T0FB,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,387,1 1 0 1 0 0 1 0 1 0,82 25 36 18 50 27 25 11 74 39,199.0435,270.5761,1,16.2018 1.8301 0.9708 1.2708 0.7493 0.9190 0.7453 0.7559 3.0848 1.2791
A381J6ZTN3TVDF,33CID571051648EJVXB34CVM2A0L3X,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,629,1 1 0 1 1 1 1 1 1 1,81 36 23 98 50 14 90 100 87 50,54.0437,59.8869,1,3.6507 7.9110 1.1606 0.6155 0.9450 0.8964 0.8082 0.7603 0.6882 0.7120
A13NKBRLF5FMIR,3180JW2OT5K3NXDN6VNJ3UGECHM5J5,3J94SKDEKIXNXRF16XW6BCQFXUX5D3,1 1 1 1 1 1 1 1 1 1,423,0 0 1 0 0 0 1 0 1 0,37 29 6 85 9 32 23 40 98 64,54.3626,182.8655,1,9.9713 2.6059 5.2071 3.1983 8.4129 5.8154 2.6855 1.3151 1.7514 1.5443
