workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
667888f24e4b6b2645479c11,668ac320c623b9b9500babbd,668ad20dd5c2745ea36b630f,0 0 0 0 0 0 0 0 0 0,572,0 1 2 1 2 1 0 2 0 1,54 83 73 23 41 36 94 56 46 66,4.2930,29.2151,0,7.0310 2.3464 1.1368 1.3489 2.3968 2.7513 0.7317 0.6671 0.5971 0.6841
5fdb9b8329db950168cbb3b8,668ad39b5dc7b7d6cb40478c,668ad5bfe7690b3b64d49be7,0 0 0 0 0 0 0 0 0 0,526,0 0 0 2 0 1 2 2 2 2,30 87 19 74 16 44 80 60 93 23,7.2650,54.0340,2,8.3870 4.2540 4.7670 4.3510 4.3260 1.7110 2.6460 1.2640 0.9190 2.8230
62a0f0a0e2819d6bfd91f3cf,668ad39b5dc7b7d6cb40478c,668ad6c859b968386fbd397c,0 0 0 0 0 0 0 0 0 0,420,0 1 0 2 1 1 2 0 1 0,13 51 13 64 64 44 23 73 55 20,8.4230,16.3780,0,4.2610 5.2900 1.5600 2.2230 2.0620 0.9920 1.0660 0.7910 0.6890 0.8000
5edc195a95d5090e1c3f91b2,668ad39b5dc7b7d6cb40478c,668ad6e429a96f94df7e79c8,0 0 0 0 0 0 0 0 0 0,533,0 1 2 0 1 1 1 1 1 1,75 55 43 26 91 56 84 6 88 9,30.7119,20.5197,0,2.4529 7.3140 1.7708 0.8031 2.1893 4.5324 0.8567 0.3550 1.3530 2.6013
668581a3e6566a709a9d1b10,668ad39b5dc7b7d6cb40478c,668ad6c795e62b8c722f2b79,0 0 0 0 0 0 0 0 0 0,548,0 1 2 2 2 2 1 0 2 2,35 44 64 78 59 60 52 29 51 76,28.7839,20.0966,0,2.8861 0.6793 0.8916 0.8079 1.0721 0.9758 1.0285 0.7253 1.6315 7.1076
5fa957563d40800ae541dca3,668ad39b5dc7b7d6cb40478c,668ad710b4438a45e1042a86,0 0 0 0 0 0 0 0 0 0,423,0 1 0 2 0 1 0 0 0 0,86 56 25 14 14 23 49 94 27 35,3.2460,47.2561,1,7.1089 4.6069 0.9824 1.0510 1.2785 0.9137 1.0821 2.0651 0.8917 1.3428
5dd0918fc944d115f6f63047,668ad39b5dc7b7d6cb40478c,668ad6b4dba1edb497e55a49,0 0 0 0 0 0 0 0 0 0,377,1 2 2 1 0 0 2 2 0 2,17 35 29 20 41 49 77 89 14 6,78.7380,38.6418,1,6.8591 1.7300 1.5683 1.0854 0.7711 0.8304 3.1765 3.3567 2.1588 1.6113
6648a891957434ad183ce6b4,668ad39b5dc7b7d6cb40478c,668ad7195bade404ded7ac09,0 0 0 0 0 0 0 0 0 0,484,0 1 2 0 2 2 2 2 2 2,10 2 60 33 67 51 76 85 34 66,27.1037,27.7176,0,11.8475 3.3666 1.8037 3.5819 1.9337 2.8351 1.4321 1.1969 1.4662 1.3128
615cca0faa6b030f29e13aa1,668ad39b5dc7b7d6cb40478c,668ad7947cda8205ba3fb4da,0 0 0 0 0 0 0 0 0 0,522,0 1 0 2 2 0 1 1 1 1,96 46 21 67 14 58 83 80 45 12,3.6226,17.6613,0,3.6166 2.0813 2.0029 1.2488 2.2511 1.5073 0.9708 0.9802 2.1720 3.1043
66520da15457a5e65d2ec66f,668ad39b5dc7b7d6cb40478c,668ad796ac0dc505afbb02ac,0 0 0 0 0 0 0 0 0 0,299,0 1 2 0 0 1 1 1 2 2,0 11 5 42 18 42 61 5 87 28,56.9536,22.9636,0,6.6310 3.2101 1.3334 1.3261 1.7403 2.9643 1.2298 0.8237 2.6293 5.0495
