workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A3IX3XVGPJH2I7,3FTYUGLFSVTQKBDVWZ180WL0KFI5DV,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,427,0 1 1 1 0 1 1 0 1 1,47 77 73 9 18 54 19 50 53 27,88.9030,50.7620,0,6.5560 1.1830 1.1480 0.7870 0.7090 0.6070 0.5530 0.5170 5.0160 1.0920
A3P3F7XHG69JUL,3OXV7EAXLFYOLNBC8T51FTDOPX463E,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,426,0 0 1 0 1 1 1 0 0 0,24 42 54 3 59 92 18 80 41 13,337.6063,41.3926,0,9.3611 12.3417 2.6421 2.1201 1.8521 10.6256 1.5362 3.5095 2.0578 1.7759
A1CRWE3BJSPPSV,3SNLUL3WO5VQ32R2AH74RLLLS5FLUB,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,524,0 0 1 1 0 1 1 0 0 1,95 20 32 54 73 48 93 20 75 14,46.8577,18.7102,0,3.1976 1.8640 0.5599 0.6880 0.7440 0.4266 0.4800 0.5039 0.3758 0.4078
A3DK4DDLEWCMM1,3EWIJTFFVPFWHA5UVO6GPJ7U3JC0E2,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,510,0 0 1 0 1 1 1 1 1 1,53 0 50 4 88 90 46 64 54 61,30.2660,21.1460,1,4.8200 2.9680 2.8850 4.3010 0.6500 0.5350 0.5260 0.5020 0.5230 0.4560
AV182SXSO370E,3B1NLC6UG04XP555I4BU4NTEO73PGF,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,464,1 1 0 0 0 1 0 1 1 0,49 84 16 32 26 71 39 64 50 33,48.6520,29.5560,1,10.3260 3.8370 2.9730 2.4430 2.2120 3.0120 1.8050 3.3430 3.3340 1.7300
AL8KOIH1DJ7D9,3YT88D1N096VK2W1AXZ2PCI6QTY3KS,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,579,0 1 1 0 1 1 1 1 1 1,29 55 58 31 38 87 56 57 100 68,52.8315,7.5061,0,4.6584 3.1804 1.8381 0.5141 0.4939 1.3281 2.3762 5.5143 1.5102 3.4080
AERUGEPUVPX1R,35L9RVQFCPQOH68CJWS6ZTSEBPDUHM,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,672,0 0 1 1 1 1 0 1 1 1,49 45 71 77 94 17 49 89 99 82,84.3763,45.4213,0,12.4967 3.6714 1.2454 7.2876 3.1016 1.4005 1.0015 1.2069 3.8468 1.0296
A2PSFE934KC4MQ,304SM51WA4CYBGDMUZNAYH7SVFOBS8,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,413,0 1 1 0 0 0 0 0 1 1,98 2 16 19 21 74 50 1 62 70,19.3648,31.0938,2,6.1241 2.1335 2.4156 1.9248 0.5952 0.6934 0.7642 1.1225 0.8853 0.8546
A3D2DZNGK1MNDV,3QRYMNZ7FZP1RPFYMPX9ZH38ENITN6,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,504,0 0 1 0 0 1 1 0 1 1,75 39 64 11 29 85 56 0 97 48,108.6802,31.8005,1,5.9983 8.0900 1.8904 2.4850 3.2988 1.5151 2.7653 2.4527 2.8280 16.3897
A168UDT9WX205Q,3KJYX6QCMAJKLRS2CM5W7SAC2OUJV9,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,418,1 1 1 1 1 1 1 1 1 1,30 77 52 36 5 78 7 24 69 40,35.6573,56.8844,2,7.1058 4.4281 1.8146 1.4849 0.7545 0.5823 0.5219 0.5944 0.5019 0.6026
A3BY2QC25OCJBB,3YDGXNSEO02W7XD41M7I9C1L9T5844,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,601,0 1 1 0 0 1 1 1 1 1,59 79 16 43 38 77 76 26 95 92,42.7252,16.4317,0,3.0745 3.3518 1.8839 0.8359 1.5038 0.8997 1.2963 2.4843 0.8679 0.6235
A3KSAP865D3L7D,3U84XHCDIDLBRTERAC7VMWYP82G4Z9,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,511,0 0 1 0 1 1 0 1 1 1,57 3 97 14 51 87 17 99 46 40,22.4070,36.0080,1,16.7660 2.9510 1.4990 6.4200 0.8970 0.7770 2.3910 0.7340 0.6960 0.7370
A24WDE3E887KCO,3IQ1VMJRYUSBNRCVFFNNMBIWL9O9AA,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,564,1 1 1 1 1 1 0 0 1 1,76 48 98 85 15 37 81 25 62 37,77.0820,17.3190,0,5.1570 4.9820 4.0660 5.6540 3.5910 0.8120 1.3120 2.3720 0.9160 1.0790
A2J65ZHAJQDKAC,354P56DE9LBB94AWHIBUTFLWCP8S7E,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,428,0 1 1 1 1 0 0 1 1 1,3 28 55 71 50 69 78 10 42 22,15.8694,20.7509,0,5.6122 3.9357 4.4240 2.0080 1.4316 4.5118 1.5117 2.5281 4.1678 2.6479
AV2JAQ49I2AJM,3180JW2OT5K3NXDN6VNJ3UGDP015JX,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,422,0 1 1 1 1 0 0 1 1 1,14 61 55 56 15 29 8 77 68 39,45.1035,12.4216,0,3.0936 2.5278 4.0880 2.3039 0.5601 0.6239 0.5837 0.4078 0.3996 0.3997
A3NNDNMBKSZ22H,3O7L7BFSHFX7O5MAZEVMVN7QPEBEIV,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,386,0 0 0 0 0 0 0 0 0 0,23 91 30 5 17 78 35 18 4 85,59.5740,44.7760,0,6.4860 6.0890 3.0960 35.5030 2.3200 3.2000 1.6160 1.6800 0.8250 0.8160
AO2SEJOUWKOCV,3KIBXJ1WD62K6RPNTVJUDFGHLK8KOI,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,511,0 0 0 1 1 1 0 1 0 1,39 24 14 93 33 21 87 69 41 90,37.4308,17.0291,0,6.9624 6.9021 1.1993 0.9596 1.2555 1.7827 0.8071 1.1502 0.8641 1.0885
ALV5TFCW1R4XG,3OONKJ5DKDRJDOLTNI61ECXRYQZOB2,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,671,1 1 0 0 1 1 1 1 1 0,70 99 89 38 80 80 97 46 22 50,84.9590,20.2679,0,7.5962 4.8939 7.7815 3.7517 1.6760 1.1799 1.7361 0.9720 1.7778 1.4681
A2PJBSDDN22XIX,38YMOXR4MV7LCLD0IDG3KQOLNRQW64,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,530,0 1 0 1 1 1 0 1 0 0,24 97 41 84 86 99 35 50 5 9,37.4660,17.6810,1,3.8510 1.3950 1.1200 0.8700 3.1550 0.9600 0.9840 0.6650 0.6720 1.3390
A1KJM7LGOUAXUH,31T4R4OBOTOV2NL0KWLUEAHEQMT7C6,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,478,0 0 0 1 0 0 1 0 0 1,82 49 42 7 37 43 55 91 26 46,6.4176,18.4487,1,4.5353 4.2560 6.9838 0.8318 0.7989 1.4321 0.8720 0.9359 0.9281 0.7356
A33FA1VLSTBM74,3AAPLD8UCDP9HTTNJR2WUX6CSBPHT1,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,419,0 0 1 0 1 0 0 1 0 0,3 90 83 69 60 41 42 4 19 8,39.8522,9.9287,0,3.2983 1.5134 1.5022 1.0703 0.9674 0.8071 1.2525 1.0391 0.7073 0.8279
AOBSJV218KQVQ,3Z7EFSHGNAMPH2RR29PS89U2SF8CX6,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,597,0 1 0 1 0 1 0 1 0 1,100 34 44 68 35 40 20 73 97 86,18.0460,92.5530,0,8.4820 1.8470 5.3690 2.1120 3.9060 4.0710 6.7300 0.5380 0.8010 0.6300
A2GD1F3YOMRO7Z,3483FV8BEFRZ05FT4TRWWJ8WJK1622,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,566,0 1 1 0 0 1 1 0 1 1,66 50 97 32 42 77 7 38 60 97,12.5111,44.0545,0,8.9670 3.3760 2.7280 2.4879 1.6801 1.1519 0.8480 1.0719 1.3519 1.9022
A1ZPYSX30BDIVW,3J88R45B2H68BR0V7EBYS9T9RYYXPG,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,669,0 1 0 1 0 1 1 0 1 1,97 37 36 91 91 87 71 21 79 59,16.1460,17.7590,1,4.2860 1.8250 0.6330 0.4480 0.4490 0.3840 0.4490 0.4880 0.9280 0.3510
AVWLRXLCI0FH8,3OSWBBLG1F5ZMUX525K3SFCKDG1XDA,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,480,1 1 0 0 1 1 1 0 1 1,94 14 73 17 77 20 21 26 49 89,39.9144,19.3906,0,9.6914 3.4123 3.3964 2.1761 2.1676 2.4304 4.8788 1.3413 0.9289 1.1483
AWTBYWQ9K6B9O,39RP059MEI1VDL0HA2ROM88M3R7BMZ,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,480,1 0 1 1 1 0 0 0 0 1,53 12 97 41 4 83 21 48 26 95,25.5580,18.5720,0,19.0470 11.7430 2.4400 19.4070 0.8850 8.1570 1.0160 0.8230 1.2910 0.5860
A3EGOFTCKJYGW,3UN61F00HXXKLLW0E0WS5L24ZIPR57,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,511,1 1 1 1 1 1 1 1 1 1,56 36 35 34 34 50 74 82 15 95,6.8945,83.1261,2,7.1761 3.5595 1.2715 1.5916 1.4476 1.1277 1.0158 0.9118 1.0231 1.1363
AMW808FJZ6E54,3B1NLC6UG04XP555I4BU4NTEO9VGP2,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,555,0 1 0 0 0 1 1 1 1 1,16 69 75 51 58 74 50 98 47 17,30.1740,23.5945,1,4.4177 1.0708 5.3390 3.1602 4.3380 0.9041 0.5351 0.5830 1.3121 0.5700
A2ZI8O4YEACXQI,3EQHHY4HQT0TWVNMYP2G6HOXX9VG5H,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,711,0 1 1 1 1 1 1 1 1 0,25 90 50 89 66 81 91 79 78 62,93.2274,16.5061,0,5.3008 5.3075 0.9863 1.5409 1.6554 0.6929 0.7925 0.7609 2.2654 1.1633
A3HH7T31PFH49C,39GXDJN2OUMV1AWJLI85I21YMEM8V2,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,625,1 1 0 1 0 1 1 0 1 1,92 62 79 59 4 99 58 10 90 72,90.6593,68.1525,0,14.7525 4.1581 2.6386 3.8682 1.3255 1.2009 2.6263 1.8505 1.2006 2.3242
AFBGLSDN1MGU9,320DUZ38G8U13U27NR6A7R72FA0GJD,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,383,1 1 0 0 1 1 1 0 1 0,75 93 23 33 62 10 14 42 11 20,437.4401,22.4709,0,13.7924 9.9816 2.5053 2.3656 2.2899 10.9318 4.0144 1.8941 1.1095 1.9319
A3L9K9DZI8LFM4,3MHW492WW1LAMZYNFJIONK2T6KTVMX,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,543,0 0 1 1 1 0 1 1 0 0,70 62 54 32 13 43 83 63 76 47,27.4221,116.0422,0,14.1147 4.3758 1.9117 1.7117 4.0639 1.0399 1.9037 1.8157 1.9597 1.3760
A1LYXWW69WCW6H,32VNZTT0A8C2P2S00VDI0TWQZNYR48,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,661,1 0 0 0 1 1 1 1 1 1,67 87 79 16 63 56 95 65 73 60,21.2489,13.5809,1,3.1106 1.2651 1.2167 1.6865 1.2893 1.5410 1.2802 1.1346 1.2485 1.2250
A152B28KVSOXMV,31LVTDXBL8IYNAZL6NCZMAY1L9WLRY,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,480,0 0 0 0 0 1 1 1 1 1,20 74 0 7 50 96 42 47 51 93,211.2380,26.1540,0,27.5370 4.9850 5.1910 3.8010 8.0490 3.8320 4.7460 3.5760 5.4800 6.0000
A3DZGDF9HCTAOB,33L7PJKHCH6GOISUGN8QHKDDPUW8TE,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,395,0 1 1 1 1 0 1 0 0 1,29 60 76 78 37 20 6 43 29 17,47.3240,23.7080,1,7.7080 1.0320 1.2080 0.7920 0.7760 0.6640 0.6240 0.6560 0.7360 0.6490
A3I3DDR5L9JWKG,3WZ36BJEV4OZQGQ1JZS08M3EX0HTBY,3M47JKRKCX97Z0JOU8VVHQQEEHZ680,0 0 0 0 0 0 0 0 0 0,469,0 1 1 1 1 0 1 1 0 0,21 99 63 82 18 38 17 25 45 61,59.2709,14.4642,0,4.9334 8.4119 1.1797 3.0378 2.0261 1.4834 1.5999 1.5078 1.3220 1.6859
